Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
STNG,STNG,Scorpio Tankers Inc. Common Shares,NYSE, ,N,N,3585090835,Consumer Discretionary,Marine Transportation
IPAR,IPAR,"Interparfums, Inc. - Common Stock",NASDAQ,Q,N,N,3582403863,Consumer Discretionary,Package Goods/Cosmetics
SEDG,SEDG,"SolarEdge Technologies, Inc. - Common Stock",NASDAQ,Q,N,N,3554215725,Technology,Semiconductors
BHE,BHE,"Benchmark Electronics, Inc. Common Stock",NYSE, ,N,N,3539987142,Technology,Electrical Products
ZGN,ZGN,Ermenegildo Zegna N.V. Ordinary Shares,NYSE, ,N,N,3493422891,Consumer Discretionary,Apparel
GPI,GPI,"Group 1 Automotive, Inc. Common Stock",NYSE, ,N,N,3464396856,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
GRBK,GRBK,"Green Brick Partners, Inc. Common Stock",NYSE, ,N,N,3453428491,Consumer Discretionary,Homebuilding
GEF,GEF,Greif Inc. Class A Common Stock,NYSE, ,N,N,3436693508,,
PPLI,PPLI,People Incorporated - Common Stock,NASDAQ,Q,N,N,3433726815,Technology,Computer Software: Programming Data Processing
CALY,CALY,Callaway Golf Company Common Stock,NYSE, ,N,N,3419330374,Consumer Discretionary,Recreational Games/Products/Toys
JOYY,JOYY,JOYY Inc. - American Depositary Shares,NASDAQ,Q,N,N,3413134252,Technology,EDP Services
SIG,SIG,Signet Jewelers Limited Common Shares,NYSE, ,N,N,3390227295,Consumer Discretionary,Consumer Specialties
KFY,KFY,Korn Ferry Common Stock,NYSE, ,N,N,3386059060,Consumer Discretionary,Diversified Commercial Services
MNDY,MNDY,monday.com Ltd. - Ordinary Shares,NASDAQ,Q,N,N,3363454471,Technology,Computer Software: Prepackaged Software
WPP,WPP,WPP plc American Depositary Shares,NYSE, ,N,N,3342129711,Consumer Discretionary,Advertising
BATRK,BATRK,"Atlanta Braves Holdings, Inc. - Series C Common Stock",NASDAQ,Q,N,N,3329064310,Consumer Discretionary,Services-Misc. Amusement & Recreation
HAFN,HAFN,Hafnia Limited Common Shares,NYSE, ,N,N,3318547865,Consumer Discretionary,Transportation Services
TDW,TDW,Tidewater Inc. Common Stock,NYSE, ,N,N,3313553343,Consumer Discretionary,Marine Transportation
AZUL,AZUL,"Azul S.A. American Depositary Shares, each representing two (2) Common Shares",NYSE MKT, ,N,N,3291136388,Consumer Discretionary,Air Freight/Delivery Services
RNG,RNG,"RingCentral, Inc. Class A Common Stock",NYSE, ,N,N,3268808384,Technology,EDP Services
TDC,TDC,Teradata Corporation Common Stock,NYSE, ,N,N,3260565000,Technology,Computer Software: Prepackaged Software
COLM,COLM,Columbia Sportswear Company - Common Stock,NASDAQ,Q,N,N,3161523761,Consumer Discretionary,Apparel
RHI,RHI,Robert Half Inc. Common Stock,NYSE, ,N,N,3140413182,Consumer Discretionary,Professional Services
AD,AD,"Array Digital Infrastructure, Inc. Common Shares",NYSE, ,N,N,3132864000,Telecommunications,Telecommunications Equipment
ZIM,ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares,NYSE, ,N,N,3132113608,Consumer Discretionary,Marine Transportation
NTCT,NTCT,"NetScout Systems, Inc. - Common Stock",NASDAQ,Q,N,N,3113616613,Technology,EDP Services
RH,RH,RH Common Stock,NYSE, ,N,N,3113556623,Consumer Discretionary,Other Specialty Stores
FA,FA,First Advantage Corporation - Common Stock,NASDAQ,Q,N,N,3096243698,Technology,EDP Services
PLBL,PLBL,Polibeli Group Ltd - Class A Ordinary Shares,NASDAQ,G,N,N,3077654748,Consumer Discretionary,Consumer Electronics/Appliances
ARIS,ARIS,Aris Mining Corporation Common Shares,NYSE, ,N,N,3077424000,,
SHOO,SHOO,"Steven Madden, Ltd. - Common Stock",NASDAQ,Q,N,N,3076896856,Consumer Discretionary,Shoe Manufacturing
CARG,CARG,"CarGurus, Inc. - Class A Common Stock",NASDAQ,Q,N,N,3074478171,Technology,EDP Services
PHIN,PHIN,PHINIA Inc. Common Stock,NYSE, ,N,N,3049383362,Consumer Discretionary,Auto Parts:O.E.M.
PAY,PAY,"Paymentus Holdings, Inc. Class A Common Stock",NYSE, ,N,N,3039070382,Consumer Discretionary,Business Services
CCC,CCC,CCC Intelligent Solutions Holdings Inc. - Common Stock,NASDAQ,Q,N,N,3028613166,Technology,Computer Software: Prepackaged Software
ASH,ASH,Ashland Inc. Common Stock,NYSE, ,N,N,3016956627,Consumer Discretionary,Specialty Chemicals
PONY,PONY,Pony AI Inc. - American Depositary Shares,NASDAQ,Q,N,N,3013113793,Technology,EDP Services
QTWO,QTWO,"Q2 Holdings, Inc. Common Stock",NYSE, ,N,N,3011080346,Technology,Computer Software: Prepackaged Software
AAUC,AAUC,Allied Gold Corporation Common Shares,NYSE, ,N,N,2993902000,,
VGNT,VGNT,Versigent PLC Ordinary Shares,NYSE, ,N,N,2978242657,,
MGRC,MGRC,McGrath RentCorp - Common Stock,NASDAQ,Q,N,N,2972711023,Consumer Discretionary,Diversified Commercial Services
HWKN,HWKN,"Hawkins, Inc. - Common Stock",NASDAQ,Q,N,N,2970799440,Consumer Discretionary,Specialty Chemicals
PATK,PATK,"Patrick Industries, Inc. - Common Stock",NASDAQ,Q,N,N,2953153561,Consumer Discretionary,Auto Parts:O.E.M.
DAN,DAN,Dana Incorporated Common Stock ,NYSE, ,N,N,2945093370,Consumer Discretionary,Auto Parts:O.E.M.
AGYS,AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,Q,N,N,2943412731,Technology,EDP Services
ASO,ASO,"Academy Sports and Outdoors, Inc. - Common Stock",NASDAQ,Q,N,N,2922925825,Consumer Discretionary,Other Specialty Stores
HNI,HNI,HNI Corporation Common Stock,NYSE, ,N,N,2909233412,Consumer Discretionary,Office Equipment/Supplies/Services
INFQ,INFQ,"Infleqtion, Inc. Common Stock",NYSE, ,N,N,2906382588,Technology,EDP Services
VISN,VISN,"Vistance Networks, Inc.  - Common Stock",NASDAQ,Q,N,N,2882779884,Technology,Radio And Television Broadcasting And Communications Equipment
AEO,AEO,"American Eagle Outfitters, Inc. Common Stock",NYSE, ,N,N,2882261328,Consumer Discretionary,Clothing/Shoe/Accessory Stores
