Ticker,Company-Name,Region,Sector,Industry
,South Bow Corporation,US,Energy,Oil & Gas Midstream
,"Western Midstream Partners, LP",US,Energy,Oil & Gas Midstream
,KNOT Offshore Partners LP,US,Energy,Oil & Gas Midstream
,Energy Transfer LP,US,Energy,Oil & Gas Midstream
,"Dorchester Minerals, L.P.",US,Energy,Oil & Gas E&P
,Chevron Corporation,US,Energy,Oil & Gas Integrated
,Mach Natural Resources LP,US,Energy,Oil & Gas E&P
,National Fuel Gas Company,US,Energy,Oil & Gas Integrated
,"CVR Energy, Inc.",US,Energy,Oil & Gas Refining & Marketing
,Enterprise Products Partners L.P.,US,Energy,Oil & Gas Midstream
,"Star Group, L.P.",US,Energy,Oil & Gas Refining & Marketing
,"Plains GP Holdings, L.P.",US,Energy,Oil & Gas Midstream
,Global Partners LP,US,Energy,Oil & Gas Midstream
,Sabine Royalty Trust,US,Energy,Oil & Gas Midstream
,Valero Energy Corporation,US,Energy,Oil & Gas Refining & Marketing
,"Plains All American Pipeline, L.P.",US,Energy,Oil & Gas Midstream
,Sunoco LP,US,Energy,Oil & Gas Refining & Marketing
,TC Energy Corporation,US,Energy,Oil & Gas Midstream
,SunocoCorp LLC,US,Energy,Oil & Gas Midstream
,MPLX LP,US,Energy,Oil & Gas Midstream
,Pembina Pipeline Corporation,US,Energy,Oil & Gas Midstream
,Targa Resources Corp.,US,Energy,Oil & Gas Midstream
,Antero Midstream Corporation,US,Energy,Oil & Gas Midstream
,Enbridge Inc.,US,Energy,Oil & Gas Midstream
,Kinetik Holdings Inc.,US,Energy,Oil & Gas Midstream
,Permian Basin Royalty Trust,US,Energy,Oil & Gas Midstream
,"Cheniere Energy, Inc.",US,Energy,Oil & Gas Midstream
,"Kinder Morgan, Inc.",US,Energy,Oil & Gas Midstream
,"The Williams Companies, Inc.",US,Energy,Oil & Gas Midstream
,Hess Midstream LP,US,Energy,Oil & Gas Midstream
,"DT Midstream, Inc.",US,Energy,Oil & Gas Midstream
,"ONEOK, Inc.",US,Energy,Oil & Gas Midstream
,"Venture Global, Inc.",US,Energy,Oil & Gas Midstream
,Magnolia Oil & Gas Corporation,US,Energy,Oil & Gas E&P
,Halliburton Company,US,Energy,Oil & Gas Equipment & Services
