Ticker,Company-Name,Region,Sector,Industry
DINO,HF Sinclair Corporation,US,Energy,Oil & Gas Refining & Marketing
WHK,WhiteHawk Minerals Corp.,US,Energy,Oil & Gas Midstream
DKL,"Delek Logistics Partners, LP",US,Energy,Oil & Gas Refining & Marketing
EQNR,Equinor ASA,US,Energy,Oil & Gas Integrated
IMO,Imperial Oil Limited,US,Energy,Oil & Gas Integrated
ET,Energy Transfer LP,US,Energy,Oil & Gas Midstream
GEL,"Genesis Energy, L.P.",US,Energy,Oil & Gas Midstream
SOBO,South Bow Corporation,US,Energy,Oil & Gas Midstream
WES,"Western Midstream Partners, LP",US,Energy,Oil & Gas Midstream
KNOP,KNOT Offshore Partners LP,US,Energy,Oil & Gas Midstream
ET,Energy Transfer LP,US,Energy,Oil & Gas Midstream
DMLP,"Dorchester Minerals, L.P.",US,Energy,Oil & Gas E&P
CVX,Chevron Corporation,US,Energy,Oil & Gas Integrated
MNR,Mach Natural Resources LP,US,Energy,Oil & Gas E&P
NFG,National Fuel Gas Company,US,Energy,Oil & Gas Integrated
CVI,"CVR Energy, Inc.",US,Energy,Oil & Gas Refining & Marketing
EPD,Enterprise Products Partners L.P.,US,Energy,Oil & Gas Midstream
SHGU,"Star Group, L.P.",US,Energy,Oil & Gas Refining & Marketing
PAGP,"Plains GP Holdings, L.P.",US,Energy,Oil & Gas Midstream
GLP,Global Partners LP,US,Energy,Oil & Gas Midstream
SBR,Sabine Royalty Trust,US,Energy,Oil & Gas Midstream
VLO,Valero Energy Corporation,US,Energy,Oil & Gas Refining & Marketing
PAA,"Plains All American Pipeline, L.P.",US,Energy,Oil & Gas Midstream
SUN,Sunoco LP,US,Energy,Oil & Gas Refining & Marketing
TRP,TC Energy Corporation,US,Energy,Oil & Gas Midstream
SUNC,SunocoCorp LLC,US,Energy,Oil & Gas Midstream
MPLX,MPLX LP,US,Energy,Oil & Gas Midstream
PBA,Pembina Pipeline Corporation,US,Energy,Oil & Gas Midstream
TRGP,Targa Resources Corp.,US,Energy,Oil & Gas Midstream
AM,Antero Midstream Corporation,US,Energy,Oil & Gas Midstream
ENB,Enbridge Inc.,US,Energy,Oil & Gas Midstream
KNTK,Kinetik Holdings Inc.,US,Energy,Oil & Gas Midstream
PBT,Permian Basin Royalty Trust,US,Energy,Oil & Gas Midstream
LNG,"Cheniere Energy, Inc.",US,Energy,Oil & Gas Midstream
KMI,"Kinder Morgan, Inc.",US,Energy,Oil & Gas Midstream
WMB,"The Williams Companies, Inc.",US,Energy,Oil & Gas Midstream
HESM,Hess Midstream LP,US,Energy,Oil & Gas Midstream
DTM,"DT Midstream, Inc.",US,Energy,Oil & Gas Midstream
OKE,"ONEOK, Inc.",US,Energy,Oil & Gas Midstream
VG,"Venture Global, Inc.",US,Energy,Oil & Gas Midstream
MGY,Magnolia Oil & Gas Corporation,US,Energy,Oil & Gas E&P
HAL,Halliburton Company,US,Energy,Oil & Gas Equipment & Services
