Ticker,Security Name,Asset Class,Strategy,Theme,Geography,Category Flags
EQUAL50ADD.NS,DSPAMC-DSPNEWETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ESENSEX.NS,EDELAMC - ESENSEX,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ESG.NS,MIRAEAMC-MAESGETF,Equity,ESG/Sustainable,Broad Market,India,Broad Market; ESG/Sustainable; Equity; India
ESILVER.NS,EDELAMC-Esilver,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EVIETF.NS,ICICIPRAMC - EVIETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EVINDIA.NS,MIRAEAMC - EVINDIA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
FINIETF.NS,ICICIPRAMC-ICICIFIN,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
FLEXIADD.NS,DSPAMC - FLEXIADD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
FMCGADD.NS,DSPAMC - FMCGADD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
FMCGIETF.NS,ICICIPRAMC-ICICIFMCG,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GILT10BETA.NS,UTIAMC-GILT10BETA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GILT5BETA.NS,UTIAMC-GILT5BETA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GILT5YBEES.NS,RELCAPAMC-NETFGILT5Y,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLD360.NS,360ONEAMC - GOLD360,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDADD.NS,DSPAMC - DSPGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDBEES.NS,NIPINDETFGOLDBEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDBETA.NS,UTIAMC -UTIGOLDBETA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDBND.NS,BANDHANAMC - GOLDBND,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDCASE.NS,ZERODHAAMC-GOLDCASE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDETF.NS,MIRAEAMC-MAGOLDETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDIETF.NS,ICICIPrudGoldETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWCAPM.NS,GROWWAMC - GROWWCAPM,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWCHEM.NS,GROWWAMC - GROWWCHEM,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWDEFNC.NS,GROWWAMC - GROWWDEFNC,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWEV.NS,GROWWAMC - GROWWEV,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWGOLD.NS,GROWWAMC - GROWWGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWHOSPI.NS,GROWWAMC - GROWWHOSPI,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWLIQID.NS,GROWWAMC - GROWWLIQID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWLOVOL.NS,GROWWAMC - GROWWLOVOL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWMC150.NS,GROWWAMC - GROWWMC150,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWMETAL.NS,GROWWAMC - GROWWMETAL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWMOM50.NS,GROWWAMC - GROWWMOM50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWN200.NS,GROWWAMC - GROWWN200,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWNET.NS,GROWWAMC - GROWWNET,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWNXT50.NS,GROWWAMC - GROWWNXT50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWPOWER.NS,GROWWAMC - GROWWPOWER,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWPSE.NS,GROWWAMC - GROWWPSE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWPSUBK.NS,GROWWAMC - GROWWPSUBK,Equity,Plain,Broad Market,United Kingdom,Broad Market; Equity; Plain; United Kingdom
GROWWRAIL.NS,GROWWAMC - GROWWRAIL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWRLTY.NS,GROWWAMC - GROWWRLTY,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWSC250.NS,GROWWAMC - GROWWSC250,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GROWWSLVR.NS,GROWWAMC - GROWWSLVR,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GSEC10ABSL.NS,BIRLASLAMC - GSEC10ABSL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GSEC10IETF.NS,ICICIPRAMC-ICICI10GS,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GSEC10YEAR.NS,MIRAEAMC-MAGS813ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCBSE500.NS,HDFCAMC-HDFCBSE500,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCGOLD.NS,HDFCGoldETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCLIQUID.NS,HDFCAMC-HDFCLIQUID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCLOWVOL.NS,HDFCAMC-HDFCLOWVOL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCMID150.NS,HDFCAMC-HDFCMID150,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCMOMENT.NS,HDFCAMC-HDFCMOMENT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCNEXT50.NS,HDFCAMC-HDFCNEXT50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCNIF100.NS,HDFCAMC-HDFCNIF100,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCNIFBAN.NS,HDFCAMC-HDFCNIFBAN,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCNIFIT.NS,HDFCAMC-HDFCNIFIT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCPSUBK.NS,HDFCAMCHDFCPSUBK,Equity,Plain,Broad Market,United Kingdom,Broad Market; Equity; Plain; United Kingdom
HDFCPVTBAN.NS,HDFCAMC-HDFCPVTBAN,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
