Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags
BSE500IETF.NS,XNSE:BSE500IETF,ICICIPRAMC-ICICI500,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BSLGOLDETF.NS,XNSE:BSLGOLDETF,ABSLGoldETF-GO,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BSLSENETFG.NS,XNSE:BSLSENETFG,BIRLASLAMC-BSLSENETFG,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CASHIETF.NS,XNSE:CASHIETF,ICICIPRAMC - CASHIETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CHOICEGOLD.NS,XNSE:CHOICEGOLD,ChoiceAMC - CHOICEGOLD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
COMMOIETF.NS,XNSE:COMMOIETF,ICICIPRAMC-ICICICOMMO,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CONS.NS,XNSE:CONS,KOTAKMAMC-KOTAKCONS,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CONSUMBEES.NS,XNSE:CONSUMBEES,NIPINDETFCONSUMPTION,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CONSUMER.NS,XNSE:CONSUMER,MIRAEAMC - CONSUMER,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CONSUMIETF.NS,XNSE:CONSUMIETF,ICICIPRAMC-ICICICONSU,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CPSEETF.NS,XNSE:CPSEETF,CPSEETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
DEFENCE.NS,XNSE:DEFENCE,MIRAEAMC - DEFENCE,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
DIVOPPBEES.NS,XNSE:DIVOPPBEES,NIPINDETFDIVOPP,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EBBETF0430.NS,XNSE:EBBETF0430,EDELAMC-EBBETF0430,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
