Ticker,Signal_Date,Final_Decision,Score,Active_Threshold,Episode_Start,Final_Decision_Reason
PL,2024-08-14,REJECT,20.0,85,False,below EMA200 | weekly mixed | not outperforming benchmark SPY | distribution cluster
PL,2024-08-15,REJECT,20.0,85,False,below EMA200 | weekly mixed | not outperforming benchmark SPY | distribution cluster
PL,2024-08-16,REJECT,34.0,85,False,weekly mixed | not outperforming benchmark SPY | distribution cluster
PL,2024-08-19,REJECT,40.0,85,False,weekly mixed | distribution cluster
PL,2024-08-20,REJECT,33.0,85,False,weekly mixed | distribution cluster
PL,2024-08-21,REJECT,40.0,85,False,weekly mixed | distribution cluster
PL,2024-08-22,REJECT,29.0,85,False,weekly mixed | distribution cluster
PL,2024-08-23,REJECT,40.0,85,False,weekly mixed | distribution cluster
PL,2024-08-26,REJECT,40.0,85,False,weekly mixed | distribution cluster
PL,2024-08-27,REJECT,38.0,85,False,weekly mixed | distribution cluster
PL,2024-08-28,REJECT,38.0,85,False,weekly mixed | distribution cluster
PL,2024-08-29,REJECT,40.0,85,False,weekly mixed | distribution cluster
PL,2024-08-30,REJECT,38.0,85,False,weekly mixed | distribution cluster
PL,2024-09-03,REJECT,38.0,85,False,weekly mixed | distribution cluster
PL,2024-09-04,REJECT,38.0,85,False,weekly mixed | distribution cluster
PL,2024-09-05,REJECT,38.0,85,False,weekly mixed
PL,2024-09-06,REJECT,4.0,85,False,below EMA200 | weekly downtrend | not outperforming benchmark SPY | distribution cluster
PL,2024-09-09,REJECT,12.0,85,False,below EMA200 | weekly downtrend | not outperforming benchmark SPY
PL,2024-09-10,REJECT,4.0,85,False,below EMA200 | weekly downtrend | not outperforming benchmark SPY | distribution cluster
PL,2024-09-11,REJECT,12.0,85,False,below EMA200 | weekly downtrend | not outperforming benchmark SPY
PL,2024-09-12,REJECT,12.0,85,False,below EMA200 | weekly downtrend | not outperforming benchmark SPY
PL,2024-09-13,REJECT,20.0,85,False,below EMA200 | weekly flat | not outperforming benchmark SPY
PL,2024-09-16,REJECT,20.0,85,False,below EMA200 | weekly flat | not outperforming benchmark SPY
PL,2024-09-17,REJECT,20.0,85,False,below EMA200 | weekly flat | not outperforming benchmark SPY
PL,2024-09-18,REJECT,14.0,85,False,below EMA200 | weekly flat | not outperforming benchmark SPY | distribution cluster
PL,2024-09-19,REJECT,20.0,85,False,below EMA200 | weekly flat | not outperforming benchmark SPY | distribution cluster
PL,2024-09-20,REJECT,17.0,85,False,below EMA200 | weekly flat | not outperforming benchmark SPY | distribution cluster
PL,2024-09-23,REJECT,20.0,85,False,below EMA200 | weekly flat | not outperforming benchmark SPY | distribution cluster
PL,2024-09-24,REJECT,20.0,85,False,below EMA200 | weekly flat | not outperforming benchmark SPY | distribution cluster
PL,2024-09-25,REJECT,20.0,85,False,below EMA200 | weekly flat | not outperforming benchmark SPY | distribution cluster
PL,2024-09-26,REJECT,20.0,85,False,below EMA200 | weekly flat | not outperforming benchmark SPY | distribution cluster
PL,2024-09-27,REJECT,20.0,85,False,below EMA200 | not outperforming benchmark SPY | distribution cluster
PL,2024-09-30,REJECT,20.0,85,False,below EMA200 | not outperforming benchmark SPY | distribution cluster
PL,2024-10-01,REJECT,20.0,85,False,below EMA200 | not outperforming benchmark SPY | distribution cluster
PL,2024-10-02,REJECT,20.0,85,False,below EMA200 | not outperforming benchmark SPY | distribution cluster
PL,2024-10-03,REJECT,20.0,85,False,below EMA200 | not outperforming benchmark SPY | distribution cluster
PL,2024-10-04,REJECT,20.0,85,False,below EMA200 | not outperforming benchmark SPY | distribution cluster
PL,2024-10-07,REJECT,20.0,85,False,below EMA200 | not outperforming benchmark SPY | distribution cluster
PL,2024-10-08,REJECT,20.0,85,False,below EMA200 | not outperforming benchmark SPY | distribution cluster
PL,2024-10-09,REJECT,20.0,85,False,below EMA200 | not outperforming benchmark SPY | distribution cluster
PL,2024-10-10,REJECT,20.0,85,False,below EMA200 | not outperforming benchmark SPY | distribution cluster
PL,2024-10-11,REJECT,20.0,85,False,below EMA200 | not outperforming benchmark SPY
PL,2024-10-14,REJECT,20.0,85,False,below EMA200
PL,2024-10-15,REJECT,20.0,85,False,below EMA200
PL,2024-10-16,REJECT,49.0,85,False,not qualified
PL,2024-10-17,REJECT,48.0,85,False,not qualified
PL,2024-10-18,REJECT,49.0,85,False,lower high and lower low
PL,2024-10-21,REJECT,20.0,85,False,below EMA200
PL,2024-10-22,REJECT,48.0,85,False,not qualified
PL,2024-10-23,REJECT,20.0,85,False,below EMA200
PL,2024-10-24,REJECT,48.0,85,False,not qualified
PL,2024-10-25,REJECT,27.0,85,False,weekly flat
PL,2024-10-28,REJECT,35.0,85,False,weekly flat
PL,2024-10-29,REJECT,35.0,85,False,weekly flat
PL,2024-10-30,REJECT,36.0,85,False,weekly flat
PL,2024-10-31,REJECT,20.0,85,False,below EMA200 | weekly flat
PL,2024-11-01,REJECT,20.0,85,False,below EMA200 | weekly flat
PL,2024-11-04,REJECT,20.0,85,False,below EMA200 | weekly flat
PL,2024-11-05,REJECT,32.0,85,False,weekly flat
PL,2024-11-06,REJECT,42.0,85,False,weekly flat
PL,2024-11-07,REJECT,42.0,85,False,weekly flat
PL,2024-11-08,REJECT,36.0,85,False,weekly flat
PL,2024-11-11,REJECT,45.0,85,False,weekly flat
PL,2024-11-12,REJECT,45.0,85,False,weekly flat
PL,2024-11-13,REJECT,45.0,85,False,weekly flat
PL,2024-11-14,REJECT,45.0,85,False,weekly flat
PL,2024-11-15,REJECT,49.0,85,False,lower high and lower low | pullback on above-average volume
PL,2024-11-18,MOMENTUM_PRESENT_WAIT_CONFIRMATION,77.0,85,False,below confirmed entry threshold
PL,2024-11-19,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,5D extension above 18.0% | 10D extension above 30.0%
PL,2024-11-20,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
PL,2024-11-21,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,10D extension above 30.0%
PL,2024-11-22,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,5D extension above 18.0% | 10D extension above 30.0%
PL,2024-11-25,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,5D extension above 18.0% | 10D extension above 30.0%
PL,2024-11-26,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,10D extension above 30.0% | close location below 50.0%
PL,2024-11-27,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,5D extension above 18.0%
PL,2024-11-29,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,5D extension above 18.0% | 10D extension above 30.0%
PL,2024-12-02,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,5D extension above 18.0% | 10D extension above 30.0%
PL,2024-12-03,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,10D extension above 30.0% | close location below 50.0%
PL,2024-12-04,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,10D extension above 30.0% | close location below 50.0%
PL,2024-12-05,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,10D extension above 30.0%
PL,2024-12-06,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
PL,2024-12-09,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
PL,2024-12-10,REJECT,40.0,85,False,distribution cluster
PL,2024-12-11,REJECT,40.0,85,False,distribution cluster
PL,2024-12-12,REJECT,40.0,85,False,distribution cluster
PL,2024-12-13,REJECT,40.0,85,False,distribution cluster
PL,2024-12-16,REJECT,40.0,85,False,distribution cluster
PL,2024-12-17,REJECT,40.0,85,False,distribution cluster
PL,2024-12-18,REJECT,40.0,85,False,distribution cluster
PL,2024-12-19,REJECT,40.0,85,False,distribution cluster
PL,2024-12-20,REJECT,40.0,85,False,distribution cluster
PL,2024-12-23,REJECT,40.0,85,False,distribution cluster
PL,2024-12-24,REJECT,40.0,85,False,distribution cluster
PL,2024-12-26,REJECT,40.0,85,False,distribution cluster
PL,2024-12-27,REJECT,40.0,85,False,distribution cluster
PL,2024-12-30,REJECT,40.0,85,False,distribution cluster
PL,2024-12-31,REJECT,40.0,85,False,distribution cluster
PL,2025-01-02,REJECT,40.0,85,False,distribution cluster
PL,2025-01-03,REJECT,40.0,85,False,distribution cluster
PL,2025-01-06,REJECT,40.0,85,False,distribution cluster
PL,2025-01-07,REJECT,40.0,85,False,distribution cluster
PL,2025-01-08,REJECT,40.0,85,False,distribution cluster
PL,2025-01-10,REJECT,40.0,85,False,distribution cluster
PL,2025-01-13,REJECT,40.0,85,False,distribution cluster
PL,2025-01-14,REJECT,40.0,85,False,distribution cluster
PL,2025-01-15,REJECT,40.0,85,False,distribution cluster
PL,2025-01-16,REJECT,40.0,85,False,distribution cluster
PL,2025-01-17,REJECT,40.0,85,False,distribution cluster
PL,2025-01-21,REJECT,40.0,85,False,distribution cluster
PL,2025-01-22,REJECT,40.0,85,False,distribution cluster
PL,2025-01-23,REJECT,40.0,85,False,distribution cluster
PL,2025-01-24,REJECT,40.0,85,False,distribution cluster
PL,2025-01-27,REJECT,40.0,85,False,distribution cluster
PL,2025-01-28,REJECT,40.0,85,False,distribution cluster
PL,2025-01-29,REJECT,40.0,85,False,distribution cluster
PL,2025-01-30,REJECT,40.0,85,False,distribution cluster
PL,2025-01-31,REJECT,40.0,85,False,distribution cluster
PL,2025-02-03,REJECT,40.0,85,False,distribution cluster
PL,2025-02-04,REJECT,40.0,85,False,distribution cluster
PL,2025-02-05,REJECT,40.0,85,False,distribution cluster
PL,2025-02-06,REJECT,40.0,85,False,distribution cluster
PL,2025-02-07,REJECT,40.0,85,False,distribution cluster
PL,2025-02-10,REJECT,40.0,85,False,distribution cluster
PL,2025-02-11,REJECT,40.0,85,False,distribution cluster
PL,2025-02-12,REJECT,40.0,85,False,distribution cluster
PL,2025-02-13,REJECT,40.0,85,False,distribution cluster
PL,2025-02-14,REJECT,40.0,85,False,distribution cluster
PL,2025-02-18,REJECT,40.0,85,False,distribution cluster
PL,2025-02-19,REJECT,40.0,85,False,distribution cluster
PL,2025-02-20,REJECT,40.0,85,False,distribution cluster
PL,2025-02-21,REJECT,40.0,85,False,distribution cluster
PL,2025-02-24,REJECT,40.0,85,False,distribution cluster
PL,2025-02-25,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low | daily distribution | daily distribution below EMA20
PL,2025-02-26,MOMENTUM_PRESENT_WAIT_CONFIRMATION,74.0,85,False,below EMA20 with deep 20D-high pullback
PL,2025-02-27,MOMENTUM_PRESENT_WAIT_CONFIRMATION,71.0,85,False,below EMA20 with deep 20D-high pullback | daily distribution
PL,2025-02-28,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low
