Ticker,D_Date,D_Final_Decision,D_Final_Decision_Reason,D_Action_Status,D_Score,D_Entry_Timing_Status,D_Classification_Reason,D_Close,D_1H_Bars,D_4H_Bars,D_Intraday_Data_Status,D1_Date,D1_Open,D1_Close,D1_Final_Decision,D1_Final_Decision_Reason,D1_Action_Status,D1_Score,D1_1H_Bars,D1_4H_Bars,D1_Intraday_Data_Status,D2_Date,D2_Open,D2_Close,D2_Final_Decision,D2_Final_Decision_Reason,D2_Action_Status,D2_Score,D2_1H_Bars,D2_4H_Bars,D2_Intraday_Data_Status,Continuation_By_D2,Validation_Result,Validation_Note,Status_String_Check,Reason_String_Check,Daily_Replay_Limitation,File,Primary_D1_Open_Confirm,D1_Close_Confirm,Secondary_D2_Confirm,Double_Confirm_D1_D2,Primary_Validation_Result,Secondary_Validation_Result
CVV,2026-05-06,MOMENTUM_PRESENT_WAIT_CONFIRMATION,ATR above 10.0% | 5D extension above 12.0% | 10D extension above 20.0%,Actionable Momentum Candidate,93,Clean,last 3H selling,8.050000190734863,13,5,OK,2026-05-07,7.949999809265137,6.980000019073486,MOMENTUM_PRESENT_WAIT_CONFIRMATION,ATR above 10.0% | 10D extension above 20.0% | close location below 50.0%,Actionable Momentum Candidate,89,15,5,OK,2026-05-08,6.980000019073486,7.090000152587891,MOMENTUM_PRESENT_WAIT_CONFIRMATION,ATR above 10.0% | relative volume below 1.0x,Actionable Momentum Candidate,89,15,5,OK,False,PASS_WAIT,Momentum is present but not active; continuation is observed but not required.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R2_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
ASTI,2026-05-06,REJECT,not qualified,Avoid,54,Clean,,4.449999809265137,17,5,OK,2026-05-07,4.440000057220459,3.880000114440918,REJECT,below EMA200 | excess volatility,Avoid,20,15,5,OK,2026-05-08,4.006999969482422,4.320000171661377,REJECT,below EMA20 with deep 20D-high pullback,Avoid,54,15,5,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R2_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
MRCY,2026-05-06,REJECT,weekly mixed | distribution cluster,Avoid,40,Wait - Last Hour Bearish,weekly mixed | distribution cluster,91.66000366210938,12,5,OK,2026-05-07,92.98999786376952,88.05999755859375,REJECT,weekly mixed | distribution cluster,Avoid,40,13,5,OK,2026-05-08,89.29000091552734,90.33999633789062,REJECT,distribution cluster,Avoid,40,12,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R2_D2026-05-06_Validation_20260702.csv,True,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
VIAV,2026-05-06,REJECT,distribution cluster,Avoid,40,Clean,distribution cluster,53.0,17,5,OK,2026-05-07,52.0,51.04999923706055,REJECT,distribution cluster,Avoid,40,17,5,OK,2026-05-08,52.18999862670898,51.209999084472656,REJECT,distribution cluster,Avoid,40,17,5,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R2_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
JOYY,2026-05-06,REJECT,weekly mixed | not outperforming SPY,Avoid,35,Clean,weekly mixed | not outperforming SPY,60.27000045776367,11,5,OK,2026-05-07,60.20000076293945,59.0,REJECT,weekly mixed | not outperforming SPY,Avoid,35,9,3,OK,2026-05-08,58.540000915527344,58.880001068115234,REJECT,weekly mixed | not outperforming SPY,Avoid,35,12,4,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R2_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
NEXN,2026-05-06,REJECT,weekly mixed | not outperforming SPY,Avoid,35,Clean,weekly mixed | not outperforming SPY,7.630000114440918,11,4,OK,2026-05-07,7.670000076293945,7.730000019073486,REJECT,weekly mixed | not outperforming SPY,Avoid,35,8,3,OK,2026-05-08,7.639999866485596,7.690000057220459,REJECT,weekly mixed | not outperforming SPY,Avoid,32,8,3,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R2_D2026-05-06_Validation_20260702.csv,True,True,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
CRNC,2026-05-06,REJECT,weekly mixed | not outperforming SPY,Avoid,23,Clean,weekly mixed | not outperforming SPY,10.1899995803833,15,5,OK,2026-05-07,10.270000457763672,10.539999961853027,REJECT,weekly mixed,Avoid,27,15,5,OK,2026-05-08,9.84000015258789,9.869999885559082,REJECT,weekly mixed | not outperforming SPY,Avoid,11,15,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R2_D2026-05-06_Validation_20260702.csv,True,True,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
GRND,2026-05-06,REJECT,below EMA200 | weekly mixed | not outperforming SPY,Avoid,20,Clean,below EMA200 | weekly mixed | not outperforming SPY,13.489999771118164,17,5,OK,2026-05-07,13.510000228881836,13.8100004196167,REJECT,weekly mixed | not outperforming SPY,Avoid,35,16,5,OK,2026-05-08,14.760000228881836,15.09000015258789,REJECT,weekly mixed,Avoid,45,16,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R2_D2026-05-06_Validation_20260702.csv,True,True,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
PHUN,2026-05-06,REJECT,below EMA200 | weekly mixed | not outperforming SPY,Avoid,19,Wait - Daily Pullback Risk,below EMA200 | weekly mixed | not outperforming SPY,2.009999990463257,12,5,OK,2026-05-07,2.0199999809265137,2.0199999809265137,REJECT,below EMA200 | weekly mixed | not outperforming SPY,Avoid,20,11,5,OK,2026-05-08,1.9900000095367432,2.0,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,12,13,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R2_D2026-05-06_Validation_20260702.csv,True,True,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
PRCH,2026-05-06,REJECT,weekly mixed | not outperforming SPY,Avoid,15,Clean,weekly mixed | not outperforming SPY,11.100000381469728,14,5,OK,2026-05-07,11.100000381469728,11.279999732971191,REJECT,weekly mixed | not outperforming SPY,Avoid,29,12,4,OK,2026-05-08,11.279999732971191,10.970000267028809,REJECT,weekly mixed | not outperforming SPY,Avoid,15,12,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R2_D2026-05-06_Validation_20260702.csv,False,True,True,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
