Ticker,Signal_Date,Long_Term_Status,Score,Weekly_Trend,Signal_Close,Next_Open,D_Minus_1_Close,D_Plus_1_Close,D_Plus_2_Close,D_Minus_1_Lt_D,D_Lt_D_Plus_1,D_Lt_D_Plus_2,D1_D2_Confirmation,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Trend_Score,RS_126D_Excess_Pct,RS_Slope_Pct_50D,Distance_From_52W_High_Pct,Net_Accumulation_50,Distribution_Days_50,ATR_Pct,Forward_21D_Return_Pct,Forward_63D_Return_Pct,Forward_126D_Return_Pct,Forward_252D_Return_Pct
BLZE,2024-02-09,Momentum Candidate,100,Uptrend,9.109999656677246,9.0,8.75,8.819999694824219,8.050000190734863,True,False,False,False,30,25,8,15,7,15,99.95494132508611,18.297262873945396,3.29087491619916,5.0,5.0,5.050179766194702,19.666671752929688,-19.444444444444443,-31.666665607028534,-16.111108991834854
BLZE,2024-05-06,Watchlist Candidate,78,Uptrend,9.619999885559082,9.630000114440918,9.390000343322754,9.779999732971191,9.90999984741211,True,True,True,True,30,12,0,11,10,15,60.229201020137154,-4.948654358781013,23.95256778136748,1.0,3.0,3.566973535763998,-37.7985493257087,-47.455868300648454,-23.987538061557444,-45.48286669148398
BLZE,2025-09-05,Momentum Candidate,100,Uptrend,8.699999809265137,8.779999732971191,8.6899995803833,9.140000343322754,9.220000267028809,True,True,True,True,30,25,20,10,7,15,45.02457935404449,52.53681095831768,1.6949216467681,5.0,6.0,4.652709702768836,8.656039316582632,-44.64692162502198,-56.264236549471526,
BLZE,2025-10-13,Momentum Candidate,91,Uptrend,9.4399995803833,9.1899995803833,9.4399995803833,9.119999885559082,9.470000267028809,False,False,True,False,30,25,4,10,7,15,82.83879526259112,81.01652798877869,12.834721635409691,10.0,7.0,5.479722231951874,-38.737754390560056,-46.2459164006358,-58.43307826262739,
FCEL,2020-06-02,Watchlist Candidate,70,Uptrend,69.0,69.0,67.5,72.5999984741211,76.19999694824219,True,True,True,True,12,25,0,11,7,15,240.21742351674104,40.01048585811115,23.333333333333332,1.0,1.0,6.4285704808205555,-0.8695630059725956,23.47825644672781,343.47826086956525,353.47825202389043
FCEL,2020-08-31,Watchlist Candidate,70,Uptrend,85.19999694824219,85.19999694824219,89.69999694824219,87.0,80.0999984741211,False,True,False,False,30,12,4,6,3,15,29.297425660066054,14.060917019708397,18.85714576357887,2.0,7.0,8.551306234517822,-24.647888206800296,259.1549424419472,454.9295830141733,119.71831414731575
FCEL,2020-11-16,Momentum Candidate,85,Uptrend,112.5,129.89999389648438,85.5,123.5999984741211,153.0,True,True,True,True,25,12,20,10,3,15,67.14596460881671,38.40403345260883,0.7936521285438588,6.0,6.0,7.085713462224083,95.1501246428163,326.3279552070532,96.07390986577668,144.57276915671167
FCEL,2020-12-16,Momentum Candidate,85,Uptrend,253.5,255.0,244.1999969482422,259.79998779296875,279.0,True,True,True,True,30,25,0,15,0,15,251.88607285340308,298.2064561582834,25.287353633894462,15.0,5.0,13.896873562260057,113.294127221201,76.11764945235906,3.529411764705892,-26.23529172411152
FCEL,2021-01-19,Watchlist Candidate,84,Uptrend,543.9000244140625,531.9000244140625,475.20001220703125,502.79998779296875,518.7000122070312,True,False,False,False,30,25,4,10,0,15,526.1558730313519,637.6193797803136,13.419291014783779,17.0,6.0,11.71302517396694,4.117308210886272,-51.55104335802356,-61.928935757603575,-74.16807903931884
FCEL,2021-02-18,Momentum Candidate,85,Uptrend,553.7999877929688,598.5,663.5999755859375,606.5999755859375,536.0999755859375,False,True,False,False,30,25,0,15,0,15,487.8887814207894,119.79840928561529,37.29619790096286,6.0,3.0,13.902648844912871,-24.962404995235488,-57.443609532457444,-69.57393381729062,-72.4310776942356
FCEL,2026-01-21,Watchlist Candidate,70,Uptrend,9.350000381469727,9.5600004196167,8.640000343322754,9.920000076293945,10.130000114440918,True,True,True,True,12,25,0,11,7,15,54.18539259145625,18.447506164107597,22.01834395366495,2.0,2.0,6.776164283296951,-19.665277288277082,23.430958920480617,,
FCEL,2026-02-26,Watchlist Candidate,79,Uptrend,9.069999694824219,8.819999694824219,8.600000381469727,8.140000343322754,8.329999923706055,True,False,False,False,17,25,0,15,7,15,102.14444449713397,2.4062368291655645,24.353629124561955,4.0,3.0,6.363207709281726,-25.963713880394966,176.53061489289007,,
FCEL,2026-04-29,Momentum Candidate,90,Uptrend,13.640000343322754,13.300000190734863,9.9399995803833,13.0,13.3100004196167,True,False,False,False,17,25,20,10,3,15,69.03315416842803,79.79787066689939,0.14640925558388188,3.0,6.0,9.289904289875274,62.85713937433659,,,
PLTR,2023-05-17,Watchlist Candidate,74,Uptrend,10.25,10.460000038146973,9.470000267028809,11.739999771118164,11.710000038146973,True,True,True,True,0,25,16,11,7,15,21.453606802780122,18.73599332912481,11.790016342957701,1.0,4.0,5.344250974754839,55.83173209957417,35.277242513633844,90.72658403616668,108.03059416371377
PLTR,2023-10-17,Watchlist Candidate,81,Uptrend,17.84000015258789,17.809999465942383,17.360000610351562,17.200000762939453,17.059999465942383,True,False,False,False,30,25,4,0,7,15,99.08737429459372,2.5072262397316747,11.857705759241147,0.0,6.0,5.256645837649993,12.015729147490095,-7.916899998275784,18.641211647271373,135.8225786604629
PLTR,2023-11-15,Momentum Candidate,100,Uptrend,19.950000762939453,19.799999237060547,19.940000534057617,19.770000457763672,20.489999771118164,True,False,True,False,30,25,14,15,7,15,86.33755171412487,29.388878406625317,2.0618559596964237,7.0,3.0,4.972431403810453,-8.080800685720757,23.434350887813025,9.89899528961935,232.17171301684573
PLTR,2023-12-15,Watchlist Candidate,75,Uptrend,18.200000762939453,18.209999084472656,18.209999084472656,17.84000015258789,17.950000762939453,False,False,False,False,30,4,4,15,7,15,4.8594744940390955,4.121140402569767,16.704803454492016,5.0,5.0,4.556514213624296,-9.939591196826235,30.69742138182965,41.79023060380314,308.5118238862487
PLTR,2024-01-22,Watchlist Candidate,78,Uptrend,17.600000381469727,17.639999389648438,16.780000686645508,17.329999923706055,16.75,True,False,False,False,30,4,4,15,10,15,0.2057281258658339,-15.39127948199962,19.45080057574867,3.0,3.0,3.837662387626089,28.911567788729762,18.877551241074176,63.32199808832624,347.73246082582574
PLTR,2024-02-21,Momentum Candidate,92,Uptrend,22.739999771118164,23.770000457763672,23.399999618530273,23.59000015258789,22.969999313354492,False,True,True,False,30,25,4,15,3,15,43.65555485657029,21.70292274479153,10.910871259681802,5.0,3.0,7.4858665620656435,3.0290252397505935,-10.643671173423009,36.895247323814196,281.48926612897145
PLTR,2024-03-21,Momentum Candidate,96,Uptrend,24.489999771118164,24.200000762939453,24.56999969482422,24.18000030517578,24.510000228881836,False,False,True,False,30,25,4,15,7,15,47.09675198620594,35.59427404921718,10.94545537775213,5.0,4.0,5.097999257688344,-13.34711300725029,-1.487605781000123,53.719006570894656,298.76031800702566
PLTR,2024-04-26,Watchlist Candidate,76,Uptrend,22.520000457763672,22.75,21.709999084472656,22.829999923706055,21.969999313354492,True,True,False,False,30,12,4,5,10,15,22.7272227553591,-12.303870356298297,18.10908924449574,0.0,2.0,3.9384044252229695,-7.472530826107482,19.032966697609034,97.18681586967719,420.61539534684067
PLTR,2024-06-05,Watchlist Candidate,78,Uptrend,22.959999084472656,22.979999542236328,22.100000381469727,23.790000915527344,23.309999465942383,True,True,True,True,30,8,4,11,10,15,7.707570713476031,-8.934479574860955,16.50909423828125,1.0,3.0,2.9302528670636336,20.539605373046022,31.244562437780843,203.95996460199908,474.6736300663223
PLTR,2024-07-08,Momentum Candidate,100,Uptrend,27.700000762939453,27.93000030517578,27.229999542236328,27.389999389648438,28.420000076293945,True,False,True,False,30,25,20,15,7,15,51.62914486270829,16.777430493972645,1.0219370309153228,4.0,5.0,4.052603237676507,-4.797709051007681,43.250977029595106,171.82240364987172,410.20407605793315
