Profile,Sector,Minimum_Score,Rows,D1_Positive,D1_Positive_Rate_Pct,D1_Mean_Return_Pct,D1_Median_Return_Pct,D5_Positive,D5_Positive_Rate_Pct,D5_Mean_Return_Pct,D5_Median_Return_Pct,D8_Positive,D8_Positive_Rate_Pct,D8_Mean_Return_Pct,D8_Median_Return_Pct
V3,ALL,5,289,162,56.055363321799305,0.47509388420056736,0.2861360533047641,166,57.43944636678201,1.2475673030508208,1.0120714273463172,155,53.63321799307958,1.3153495212097326,0.7149270923955342
V3,ALL,10,277,157,56.67870036101083,0.507490845285939,0.2898073481709895,161,58.12274368231047,1.2724643020216835,1.0246913262185409,150,54.151624548736464,1.3502415640559058,0.7556028493103772
V3,ALL,15,242,139,57.43801652892562,0.4693623090296673,0.2915076237899106,139,57.43801652892562,1.3400819230874954,0.9633569832732114,132,54.54545454545455,1.4708318859425484,0.7790209499420886
V3,ALL,20,217,126,58.064516129032256,0.5293771809649859,0.3158727944993833,129,59.44700460829493,1.3747482620279916,1.1202081708234113,121,55.76036866359447,1.4265579675863418,0.8567378353139032
V3,ALL,25,157,90,57.32484076433121,0.45755750949530055,0.29700711094957644,97,61.78343949044586,1.3095279031253144,1.1598784869547574,89,56.68789808917197,1.112356723665576,0.8567378353139032
V3,ALL,30,95,58,61.05263157894737,0.6053499604142831,0.4716094984507091,61,64.21052631578948,1.2789049352857798,1.1518799675364955,55,57.89473684210526,1.057106740417434,0.8831684056537004
V3,ALL,35,29,16,55.172413793103445,0.46160958499020377,0.4592513641007434,21,72.41379310344827,1.999328937184054,1.2375680196842431,21,72.41379310344827,2.232246632252278,1.5685294770954261
V3,ALL,40,5,2,40.0,0.33391845775185836,-0.32914224734806874,4,80.0,1.1826128605608477,1.2375680196842431,5,100.0,3.990011388538619,3.6434633915607417
V3,ALL,45,1,0,0.0,-0.7771796242433293,-0.7771796242433293,1,100.0,2.6009394719880508,2.6009394719880508,1,100.0,7.248577000710488,7.248577000710488
V3,Technology,-10,142,90,63.38028169014085,0.8361438049879619,0.7163501772790792,85,59.859154929577464,1.3650002727373622,1.0726994662956901,74,52.11267605633803,1.4033399616571993,0.4006600884952749
V3,Technology,0,141,90,63.829787234042556,0.8660369399633222,0.7178711322876286,85,60.283687943262414,1.4940756178247943,1.1202081708234113,74,52.4822695035461,1.4801368472569612,0.558331500906073
V3,Technology,5,139,89,64.02877697841727,0.8675071211565977,0.7178711322876286,84,60.431654676258994,1.5659251873721585,1.1518799675364955,73,52.51798561151079,1.5308609458909501,0.7149270923955342
V3,Technology,10,134,87,64.92537313432835,0.8870158514008161,0.7414100068074858,82,61.19402985074627,1.5978175529963903,1.1558792272456264,71,52.985074626865675,1.5486375928113212,0.7586830714846671
V3,Technology,15,113,75,66.3716814159292,0.8092198629626138,0.7649488813273431,69,61.06194690265487,1.6720434381839826,1.1518799675364955,62,54.86725663716814,1.8278036034655076,0.9034391810192055
V3,Technology,20,101,70,69.3069306930693,0.9698677213897126,0.9126039197177027,64,63.366336633663366,1.969136974479212,1.1598784869547574,56,55.445544554455445,1.9908539705181802,1.016653759076691
