Profile,Sector,Exact_Score,Rows,D1_Positive,D1_Positive_Rate_Pct,D1_Mean_Return_Pct,D1_Median_Return_Pct,D5_Positive,D5_Positive_Rate_Pct,D5_Mean_Return_Pct,D5_Median_Return_Pct,D8_Positive,D8_Positive_Rate_Pct,D8_Mean_Return_Pct,D8_Median_Return_Pct
V1,Technology,-15,1,0,0.0,-3.378788226537832,-3.378788226537832,0,0.0,-16.834623384590543,-16.834623384590543,0,0.0,-9.425020907909209,-9.425020907909209
V1,Technology,-10,1,1,100.0,6.309409553139345,6.309409553139345,1,100.0,13.569428839224296,13.569428839224296,1,100.0,18.95619362478427,18.95619362478427
V1,Technology,-5,15,5,33.333333333333336,0.467371052054597,-1.1403435536549766,7,46.666666666666664,-1.690384515898134,-1.1656272773554521,3,20.0,-3.6314295587265,-2.3526439138263577
V1,Technology,0,9,7,77.77777777777777,2.516052605463854,0.9316314528618141,7,77.77777777777777,4.688747502501069,3.920055243076037,8,88.88888888888889,4.523457651678125,2.425124251723565
V1,Technology,5,10,7,70.0,1.2217643116018362,0.7286059340130491,4,40.0,2.234271661205639,-1.5108547244148007,5,50.0,4.721091611796298,0.45171959050960275
V1,Technology,10,32,18,56.25,-0.04259982848387986,0.1001484123470564,15,46.875,0.5046213560783962,-0.19553002744171488,15,46.875,1.4131881476197619,-0.24216016060719103
V1,Technology,15,32,22,68.75,0.9476219191952673,1.020384843885258,19,59.375,1.8937044889387171,1.0533982683128995,13,40.625,0.7268550849583246,-1.3311229136076408
V1,Technology,20,36,28,77.77777777777777,1.2163847187710497,0.9859225677298467,27,75.0,2.1092329316475475,1.9255597568117566,24,66.66666666666667,2.00334846992795,2.342169333537647
V1,Technology,25,3,0,0.0,-1.0189193291902932,-0.9615329948400753,2,66.66666666666667,-0.020514526550659735,0.866234496546614,2,66.66666666666667,0.8436241285728804,1.016653759076691
V1,Technology,30,3,2,66.66666666666667,1.4117726149085907,2.182214911840741,3,100.0,1.7640959592567729,1.7512228050382328,3,100.0,4.386569830218345,4.342603012849122
V1,Industrials,-10,2,1,50.0,-0.8248715318990796,-0.8248715318990796,1,50.0,0.5296633175610077,0.5296633175610077,1,50.0,-2.4369304853970877,-2.4369304853970877
V1,Industrials,-5,6,3,50.0,-0.0658161003019464,-0.09193819808854253,5,83.33333333333333,2.1146209170406514,2.194668100167707,5,83.33333333333333,2.632110867893402,2.432492482200055
V1,Industrials,0,14,7,50.0,0.2395621370127023,0.08619903951702645,5,35.714285714285715,-1.0666812836140382,-0.842826050288481,6,42.857142857142854,-0.5750038908852355,-0.6341895223268779
V1,Industrials,5,9,3,33.333333333333336,-0.847810100818141,-0.8383002648075344,3,33.333333333333336,0.22658732619623453,-0.8468934394522565,4,44.44444444444444,0.33130086619943916,-0.41400738541659265
V1,Industrials,10,37,18,48.648648648648646,0.2048478822445509,-0.07106805561054585,21,56.75675675675676,1.6646132712643018,1.521923126931224,21,56.75675675675676,2.86047275434589,1.7517159164506468
V1,Industrials,15,37,18,48.648648648648646,0.3437431776765089,-0.17078871137639062,19,51.351351351351354,0.6634335757318122,0.22294079850628812,18,48.648648648648646,0.06964847294730579,-0.5148750282883419
