Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Market Region
MAA$I,MAA$I,"Mid-America Apartment Communities, Inc. 8.50% Series I Cumulative Redeemable Preferred Stock",NYSE, ,N,N,,,,USA
MACIU,MACIU,Melar Acquisition Corp. I - Unit,NASDAQ,G,N,N,,,,USA
MACIW,MACIW,Melar Acquisition Corp. I - Warrant,NASDAQ,G,N,N,0,Finance,Blank Checks,USA
MARPS,MARPS,Marine Petroleum Trust - Units of Beneficial Interest,NASDAQ,S,N,N,10160000,Energy,Oil & Gas Production,USA
MBAVU,MBAVU,M3-Brigade Acquisition V Corp. - Units,NASDAQ,G,N,N,,,,USA
MBAVW,MBAVW,M3-Brigade Acquisition V Corp. - Warrant,NASDAQ,G,N,N,,,,USA
MBINL,MBINL,"Merchants Bancorp - Depositary Shares, Each Representing a 1/40th Interest in a Share of 7.625% Fixed Rate Series E Non-Cumulative Perpetual Preferred Stock, without par value",NASDAQ,S,N,N,1139602350,Finance,Major Banks,USA
MBINM,MBINM,"Merchants Bancorp - Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.25% Fixed-Rate Reset Series D Non-Cumulative Perpetual Preferred Stock",NASDAQ,S,N,N,1180539986,Finance,Major Banks,USA
MBINN,MBINN,Merchants Bancorp - Depositary Shares 6.00% Fixed Rate Series C Non-Cumulative Perpetual Preferred Stock,NASDAQ,S,N,N,928813950,Finance,Major Banks,USA
MBNKO,MBNKO,"Medallion Bank - Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series G, par value $1.00 per share",NASDAQ,S,N,N,25605000,Finance,Commercial Banks,USA
MBVIU,MBVIU,M3-Brigade Acquisition VI Corp. - Units,NASDAQ,G,N,N,0,Finance,Blank Checks,USA
MBVIW,MBVIW,M3-Brigade Acquisition VI Corp. - Warrant,NASDAQ,G,N,N,0,,,USA
MCAHR,MCAHR,Mountain Crest Acquisition 6 Corp. - Rights,NASDAQ,G,N,N,,,,USA
MCAHU,MCAHU,Mountain Crest Acquisition 6 Corp. - Units,NASDAQ,G,N,N,,,,USA
MCGAU,MCGAU,Yorkville Acquisition Corp. - Unit,NASDAQ,G,N,N,0,Finance,Blank Checks,USA
MCGAW,MCGAW,Yorkville Acquisition Corp. - Warrant,NASDAQ,G,N,N,0,,,USA
MCHPP,MCHPP,Microchip Technology Incorporated - Depositary Shares Each Representing a 1/20th Interest in a Share of 7.50% Series A Mandatory Convertible Preferred Stock,NASDAQ,Q,N,N,38472143015,Technology,Semiconductors,USA
MCN,MCN,XAI Madison Equity Premium Income Fund Common Shares,NYSE, ,N,N,0,,,USA
MDAIW,MDAIW,"Spectral AI, Inc. - Warrants",NASDAQ,S,N,N,16863530,Health Care,Medical/Dental Instruments,USA
MDCXW,MDCXW,Medicus Pharma Ltd. - Warrant,NASDAQ,S,N,N,21514141,Health Care,Biotechnology: Pharmaceutical Preparations,USA
MDV$A,MDV$A,"Modiv Industrial, Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock",NYSE, ,N,N,,,,USA
MEGI,MEGI,NYLI CBRE Global Infrastructure Megatrends Term Fund Common Shares,NYSE, ,N,N,0,Finance,Investment Managers,USA
MER$K,MER$K,"Bank of America Corporation Income Capital Obligation Notes initially due December 15, 2066",NYSE, ,N,N,,,,USA
MESHU,MESHU,Meshflow Acquisition Corp. - Units,NASDAQ,G,N,N,0,,,USA
MESHW,MESHW,Meshflow Acquisition Corp. - Warrants,NASDAQ,G,N,N,0,,,USA
MET$A,MET$A,"MetLife, Inc. Preferred Series A Floating Rate",NYSE, ,N,N,,,,USA
MET$F,MET$F,"MetLife, Inc. Depositary Shares, each representing a 1/1,000th interest in a share of 4.75% Non-Cumulative Preferred Stock, Series F",NYSE, ,N,N,,,,USA
METCI,METCI,"Ramaco Resources, Inc. - 8.250% Senior Notes due 2030",NASDAQ,G,N,N,0,,,USA
METCZ,METCZ,"Ramaco Resources, Inc. - 8.375% Senior Notes due 2029",NASDAQ,Q,N,N,0,Energy,Coal Mining,USA
MEVOU,MEVOU,M Evo Global Acquisition Corp II - Units,NASDAQ,G,N,N,0,Finance,Blank Checks,USA
MEVOW,MEVOW,M Evo Global Acquisition Corp II - Warrants,NASDAQ,G,N,N,,,,USA
MFA$B,MFA$B,"MFA Financial, Inc. Preferred Series B",NYSE, ,N,N,,,,USA
MFA$C,MFA$C,"MFA Financial, Inc. 6.50% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NYSE, ,N,N,,,,USA
MFAN,MFAN,"MFA Financial, Inc. 8.875% Senior Notes due 2029",NYSE, ,N,N,2605731657,Real Estate,Real Estate Investment Trusts,USA
MFAO,MFAO,"MFA Financial, Inc. 9.000% Senior Notes due 2029",NYSE, ,N,N,2609838405,Real Estate,Real Estate Investment Trusts,USA
MFIC,MFIC,MidCap Financial Investment Corporation - Closed End Fund,NASDAQ,Q,N,N,791600955,Finance,Finance/Investors Services,USA
MFICL,MFICL,MidCap Financial Investment Corporation - 8.00% Notes due 2028,NASDAQ,Q,N,N,2365246818,Finance,Finance/Investors Services,USA
MFM,MFM,Aberdeen Municipal Income Fund Common Shares of Beneficial Interest,NYSE, ,N,N,227767599,Finance,Finance Companies,USA
MGF,MGF,Aberdeen Government Markets Income Fund Common Shares of Beneficial Interest,NYSE, ,N,N,93228544,Finance,Trusts Except Educational Religious and Charitable,USA
