Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF, MarketCap ,TrailingPE,ForwardPE,Sector,Industry
VNET,VNET,"VNET Group, Inc. - American Depositary Shares",Q,Q,N,"2,99,78,03,001.00",,,Technology,Computer Software: Programming Data Processing
JOYY,JOYY,JOYY Inc. - American Depositary Shares,Q,Q,N,"2,99,10,82,797.00",,,Technology,EDP Services
IAC,IAC,IAC Inc. - Common Stock,Q,Q,N,"2,98,78,46,769.00",,,Technology,Computer Software: Programming Data Processing
INOD,INOD,Innodata Inc. - Common Stock,Q,G,N,"2,95,82,48,881.00",,,Technology,EDP Services
SEDG,SEDG,"SolarEdge Technologies, Inc. - Common Stock",Q,Q,N,"2,94,60,33,705.00",,,Technology,Semiconductors
WIX,WIX,Wix.com Ltd. - Ordinary Shares,Q,Q,N,"2,89,49,45,553.00",,,Technology,Computer Software: Programming Data Processing
NTCT,NTCT,"NetScout Systems, Inc. - Common Stock",Q,Q,N,"2,82,77,87,804.00",,,Technology,EDP Services
QTWO,QTWO,"Q2 Holdings, Inc. Common Stock",N, ,N,"2,82,01,49,056.00",,,Technology,Computer Software: Prepackaged Software
CARG,CARG,"CarGurus, Inc. - Class A Common Stock",Q,Q,N,"2,73,98,84,037.00",,,Technology,EDP Services
QUBT,QUBT,Quantum Computing Inc. - Common Stock,Q,S,N,"2,72,55,90,318.00",,,Technology,Computer Software: Prepackaged Software
FSLY,FSLY,"Fastly, Inc. - Class A Common Stock",Q,Q,N,"2,69,28,17,250.00",,,Technology,Computer Software: Prepackaged Software
PAGS,PAGS,PagSeguro Digital Ltd. Class A Common Shares,N, ,N,"2,65,82,47,649.00",,,Technology,EDP Services
FA,FA,First Advantage Corporation - Common Stock,Q,Q,N,"2,62,36,59,134.00",,,Technology,EDP Services
WK,WK,Workiva Inc. Class A Common Stock,N, ,N,"2,59,60,80,483.00",,,Technology,Computer Software: Prepackaged Software
ICHR,ICHR,Ichor Holdings - Ordinary Shares,Q,Q,N,"2,59,01,14,356.00",,,Technology,Semiconductors
VISN,VISN,"Vistance Networks, Inc.  - Common Stock",Q,Q,N,"2,56,47,26,704.00",,,Technology,Radio And Television Broadcasting And Communications Equipment
NIQ,NIQ,NIQ Global Intelligence plc Ordinary Shares,N, ,N,"2,55,86,49,400.00",,,Technology,Computer Software: Programming Data Processing
WRD,WRD,WeRide Inc. - American Depositary Shares,Q,G,N,"2,55,29,78,057.00",,,Technology,EDP Services
GRND,GRND,Grindr Inc. Common Stock,N, ,N,"2,52,45,97,503.00",,,Technology,Computer Software: Programming Data Processing
KD,KD,"Kyndryl Holdings, Inc. Common Stock",N, ,N,"2,51,82,45,135.00",,,Technology,EDP Services
DJT,DJT,Trump Media & Technology Group Corp. - Common Stock,Q,G,N,"2,49,81,23,529.00",,,Technology,Computer Software: Programming Data Processing
CCC,CCC,CCC Intelligent Solutions Holdings Inc. - Common Stock,Q,Q,N,"2,47,98,23,765.00",,,Technology,Computer Software: Prepackaged Software
NYAX,NYAX,Nayax Ltd. - Ordinary Shares,Q,Q,N,"2,47,29,91,913.00",,,Technology,Computer Software: Prepackaged Software
PENG,PENG,"Penguin Solutions, Inc. - Common Stock",Q,Q,N,"2,44,62,83,623.00",,,Technology,Semiconductors
STNE,STNE,StoneCo Ltd. - Class A Common Share,Q,Q,N,"2,37,75,55,909.00",,,Technology,EDP Services
BRZE,BRZE,"Braze, Inc. - Class A Common Stock",Q,Q,N,"2,36,82,93,181.00",,,Technology,Computer Software: Prepackaged Software
CSGS,CSGS,"CSG Systems International, Inc. - Common Stock",Q,Q,N,"2,30,04,64,154.00",,,Technology,EDP Services
TENB,TENB,"Tenable Holdings, Inc. - Common Stock",Q,Q,N,"2,28,37,32,561.00",,,Technology,Computer Software: Prepackaged Software
PLUS,PLUS,ePlus inc. - Common Stock,Q,Q,N,"2,26,42,17,808.00",,,Technology,Retail: Computer Software & Peripheral Equipment
FRSH,FRSH,Freshworks Inc. - Class A Common Stock,Q,Q,N,"2,24,04,98,924.00",,,Technology,Computer Software: Prepackaged Software
FORTY,FORTY,Formula Systems (1985) Ltd. - American Depositary Shares,Q,Q,N,"2,16,65,30,820.00",,,Technology,EDP Services
ALRM,ALRM,"Alarm.com Holdings, Inc. - Common Stock",Q,Q,N,"2,10,52,89,715.00",,,Technology,Computer Software: Prepackaged Software
AVPT,AVPT,"AvePoint, Inc. - Class A Common Stock",Q,Q,N,"2,07,98,88,693.00",,,Technology,Computer Software: Prepackaged Software
BBAI,BBAI,"BigBear.ai, Inc. Common Stock",N, ,N,"2,07,38,51,119.00",,,Technology,Computer Software: Prepackaged Software
WB,WB,Weibo Corporation - American Depositary Shares,Q,Q,N,"2,06,97,91,419.00",,,Technology,Computer Software: Programming Data Processing
ATHM,ATHM,"Autohome Inc. American Depositary Shares, each representing four class A ordinary shares.",N, ,N,"2,06,50,14,434.00",,,Technology,EDP Services
VERX,VERX,"Vertex, Inc. - Class A Common Stock",Q,G,N,"2,04,05,11,500.00",,,Technology,Computer Software: Prepackaged Software
BRUN,BRUN,Boost Run Inc. - Class A Common Stock,Q,G,N,"2,00,28,01,149.00",,,Technology,EDP Services
XNET,XNET,Xunlei Limited - American Depositary Shares,Q,Q,N,"1,98,75,89,412.00",,,Technology,Computer Software: Prepackaged Software
OMCL,OMCL,"Omnicell, Inc. - Common Stock",Q,Q,N,"1,95,96,86,189.00",,,Technology,Computer Manufacturing
IMOS,IMOS,ChipMOS TECHNOLOGIES INC. - American Depositary Shares,Q,Q,N,"1,88,90,79,445.00",,,Technology,Semiconductors
AGYS,AGYS,"Agilysys, Inc. - Common Stock",Q,Q,N,"1,86,39,84,346.00",,,Technology,EDP Services
SPSC,SPSC,"SPS Commerce, Inc. - Common Stock",Q,Q,N,"1,83,60,02,227.00",,,Technology,Computer Software: Prepackaged Software
MGRT,MGRT,Mega Fortune Company Limited - Ordinary Shares,Q,S,N,"1,83,34,25,000.00",,,Technology,EDP Services
RAMP,RAMP,"LiveRamp Holdings, Inc. Common Stock",N, ,N,"1,82,58,87,559.00",,,Technology,EDP Services
PDFS,PDFS,"PDF Solutions, Inc. - Common Stock",Q,Q,N,"1,81,56,11,173.00",,,Technology,Computer Software: Prepackaged Software
MGNI,MGNI,"Magnite, Inc. - Common Stock",Q,Q,N,"1,79,09,03,613.00",,,Technology,Computer Software: Programming Data Processing
EPAC,EPAC,Enerpac Tool Group Corp. Common Stock,N, ,N,"1,77,30,85,014.00",,,Technology,Industrial Machinery/Components
SKYT,SKYT,"SkyWater Technology, Inc. - Common Stock",Q,S,N,"1,75,31,59,969.00",,,Technology,Semiconductors
CTS,CTS,CTS Corporation Common Stock,N, ,N,"1,74,33,09,723.00",,,Technology,Electrical Products
ALKT,ALKT,"Alkami Technology, Inc. - Common Stock",Q,Q,N,"1,73,79,91,386.00",,,Technology,Computer Software: Prepackaged Software
EVCM,EVCM,EverCommerce Inc. - Common Stock,Q,Q,N,"1,73,23,47,363.00",,,Technology,Computer Software: Prepackaged Software
AIP,AIP,"Arteris, Inc.  - Common Stock",Q,G,N,"1,70,76,70,754.00",,,Technology,Semiconductors
RXT,RXT,"Rackspace Technology, Inc. - Common Stock",Q,Q,N,"1,69,22,20,768.00",,,Technology,Computer Software: Programming Data Processing
BAND,BAND,Bandwidth Inc. - Class A Common Stock,Q,Q,N,"1,67,94,67,839.00",,,Technology,Computer Software: Prepackaged Software
MQ,MQ,"Marqeta, Inc. - Class A Common Stock",Q,Q,N,"1,63,46,36,857.00",,,Technology,Computer Software: Prepackaged Software
FIVN,FIVN,"Five9, Inc. - Common Stock",Q,G,N,"1,62,85,16,025.00",,,Technology,EDP Services
OPRA,OPRA,Opera Limited - American Depositary Shares,Q,Q,N,"1,61,96,46,844.00",,,Technology,Computer Software: Prepackaged Software
NCNO,NCNO,"nCino, Inc. - Common Stock",Q,Q,N,"1,61,61,43,753.00",,,Technology,Computer Software: Prepackaged Software
INTA,INTA,"Intapp, Inc. - Common Stock",Q,Q,N,"1,61,59,81,647.00",,,Technology,Computer Software: Prepackaged Software
SHLS,SHLS,"Shoals Technologies Group, Inc. - Class A Common Stock",Q,G,N,"1,56,61,49,912.00",,,Technology,Semiconductors
BKSY,BKSY,BlackSky Technology Inc. Class A Common Stock,N, ,N,"1,56,06,20,088.00",,,Technology,Radio And Television Broadcasting And Communications Equipment
BL,BL,"BlackLine, Inc. - Common Stock",Q,Q,N,"1,55,74,47,346.00",,,Technology,Computer Software: Prepackaged Software
CLVT,CLVT,Clarivate Plc Ordinary Shares,N, ,N,"1,55,01,00,037.00",,,Technology,EDP Services
BRAI,BRAI,Braiin Limited - Common Stock,Q,G,N,"1,49,41,39,653.00",,,Technology,EDP Services
AMBQ,AMBQ,"Ambiq Micro, Inc. Common Stock",N, ,N,"1,49,22,41,387.00",,,Technology,Semiconductors
KDK,KDK,"Kodiak AI, Inc. - Common Stock",Q,G,N,"1,47,81,57,337.00",,,Technology,EDP Services
EVTC,EVTC,"Evertec, Inc. Common Stock",N, ,N,"1,46,50,23,679.00",,,Technology,EDP Services
SBET,SBET,"Sharplink, Inc. - Common Stock",Q,S,N,"1,45,54,20,221.00",,,Technology,Computer Software: Prepackaged Software
HLIT,HLIT,Harmonic Inc. - Common Stock,Q,Q,N,"1,45,03,42,878.00",,,Technology,Radio And Television Broadcasting And Communications Equipment
BLKB,BLKB,"Blackbaud, Inc. - Common Stock",Q,Q,N,"1,44,54,83,376.00",,,Technology,Computer Software: Prepackaged Software
GLOB,GLOB,Globant S.A. Common Shares,N, ,N,"1,44,26,28,966.00",,,Technology,EDP Services
APPN,APPN,Appian Corporation - Class A Common Stock,Q,G,N,"1,41,75,88,037.00",,,Technology,Computer Software: Prepackaged Software
CNXC,CNXC,Concentrix Corporation - Common Stock,Q,Q,N,"1,41,47,01,915.00",,,Technology,Computer Software: Prepackaged Software
ASAN,ASAN,"Asana, Inc. Class A Common Stock",N, ,N,"1,40,34,40,981.00",,,Technology,Computer Software: Prepackaged Software
PLTK,PLTK,Playtika Holding Corp. - Common Stock,Q,Q,N,"1,39,78,94,828.00",,,Technology,EDP Services
TBLA,TBLA,Taboola.com Ltd. - Ordinary Shares,Q,Q,N,"1,38,05,88,634.00",,,Technology,Computer Software: Programming Data Processing
PRCH,PRCH,"Porch Group, Inc. - Common Stock",Q,S,N,"1,36,27,24,150.00",,,Technology,Computer Software: Prepackaged Software
VPG,VPG,"Vishay Precision Group, Inc. Common Stock",N, ,N,"1,35,46,40,345.00",,,Technology,Electrical Products
DXC,DXC,DXC Technology Company Common Stock ,N, ,N,"1,34,38,04,433.00",,,Technology,EDP Services
DV,DV,"DoubleVerify Holdings, Inc. Common Stock",N, ,N,"1,34,35,78,975.00",,,Technology,Computer Software: Programming Data Processing
KARO,KARO,Karooooo Ltd. - Ordinary shares,Q,S,N,"1,32,84,11,900.00",,,Technology,Computer Software: Prepackaged Software
TUYA,TUYA,"Tuya Inc. American Depositary Shares, each representing one Class A Ordinary Share",N, ,N,"1,32,77,64,415.00",,,Technology,Computer Software: Prepackaged Software
AI,AI,"C3.ai, Inc. Class A Common Stock",N, ,N,"1,30,25,35,805.00",,,Technology,Computer Software: Prepackaged Software
JKS,JKS,JinkoSolar Holding Company Limited American Depositary Shares (each representing 4 Common Shares),N, ,N,"1,29,24,96,240.00",,,Technology,Semiconductors
DQ,DQ,"DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares",N, ,N,"1,27,61,83,344.00",,,Technology,Semiconductors
SATL,SATL,Satellogic Inc. - Class A Common Stock,Q,S,N,"1,24,40,64,462.00",,,Technology,Radio And Television Broadcasting And Communications Equipment
ABTC,ABTC,American Bitcoin Corp. - Class A Common Stock,Q,S,N,"1,24,37,25,450.00",,,Technology,EDP Services
AOSL,AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Q,Q,N,"1,22,50,17,628.00",,,Technology,Semiconductors
LSPD,LSPD,Lightspeed Commerce Inc. Subordinate Voting Shares,N, ,N,"1,22,06,05,348.00",,,Technology,Computer Software: Prepackaged Software
ASST,ASST,"Strive, Inc. - Class A Common Stock",Q,G,N,"1,21,99,60,967.00",,,Technology,Computer Software: Prepackaged Software
GILT,GILT,Gilat Satellite Networks Ltd. - Ordinary Shares,Q,Q,N,"1,21,13,08,715.00",,,Technology,Radio And Television Broadcasting And Communications Equipment
CSIQ,CSIQ,Canadian Solar Inc. - Common Shares,Q,Q,N,"1,20,98,50,356.00",,,Technology,Semiconductors
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",Q,S,N,"1,18,81,46,054.00",,,Technology,Computer Software: Prepackaged Software
VIA,VIA,"Via Transportation, Inc. Class A Common Stock",N, ,N,"1,18,52,93,799.00",,,Technology,Computer Software: Prepackaged Software
WGS,WGS,GeneDx Holdings Corp. - Class A Common Stock,Q,Q,N,"1,17,26,77,067.00",,,Technology,Retail: Computer Software & Peripheral Equipment
ITRN,ITRN,Ituran Location and Control Ltd. - Ordinary Shares,Q,Q,N,"1,17,14,33,458.00",,,Technology,Electronic Components
CXM,CXM,"Sprinklr, Inc. Class A Common Stock",N, ,N,"1,15,34,66,376.00",,,Technology,Computer Software: Prepackaged Software
GTM,GTM,ZoomInfo Technologies Inc. - Common Stock,Q,Q,N,"1,13,66,09,570.00",,,Technology,Computer Software: Prepackaged Software
PRGS,PRGS,Progress Software Corporation - Common Stock,Q,Q,N,"1,11,76,07,882.00",,,Technology,Computer Software: Prepackaged Software
TRIP,TRIP,"TripAdvisor, Inc. - Common Stock",Q,Q,N,"1,11,47,39,999.00",,,Technology,Computer Software: Programming Data Processing
CEVA,CEVA,"CEVA, Inc. - Common Stock",Q,Q,N,"1,04,97,41,024.00",,,Technology,Computer Software: Programming Data Processing
