"Ticker","Symbol","Security Name","Listing Exchange","Market Category","ETF","MarketCap ","TrailingPE","ForwardPE","Sector","Industry"
"ALMR","ALMR","Alamar Biosciences, Inc. - Class A common stock","Q","Q","N","1,60,66,33,291.00","","","Industrials","Biotechnology: Laboratory Analytical Instruments"
"GBX","GBX","Greenbrier Companies, Inc. (The) Common Stock","N","","N","1,52,00,13,123.00","","","Industrials","Railroads"
"TRS","TRS","TriMas Corporation - Common Stock","Q","Q","N","1,43,16,74,293.00","","","Industrials","Industrial Specialties"
"TNC","TNC","Tennant Company Common Stock","N","","N","1,40,82,65,333.00","","","Industrials","Industrial Machinery/Components"
"TROX","TROX","Tronox Holdings plc Ordinary Shares (UK)","N","","N","1,38,62,64,377.00","","","Industrials","Major Chemicals"
"UAMY","UAMY","United States Antimony Corporation Common Stock","N","","N","1,37,78,43,788.00","","","Industrials","Metal Fabrications"
"UVV","UVV","Universal Corporation Common Stock","N","","N","1,36,08,22,882.00","","","Industrials","Farming/Seeds/Milling"
"RYZ","RYZ","Ryerson Holding Corporation Common Stock","N","","N","1,35,74,09,020.00","","","Industrials","Metal Fabrications"
"RMIX","RMIX","Suncrete, Inc. - Class A Common Stock","Q","G","N","1,28,38,17,620.00","","","Industrials","Building Materials"
"CMP","CMP","Compass Minerals Intl Inc Common Stock","N","","N","1,27,59,53,363.00","","","Industrials","Mining & Quarrying of Nonmetallic Minerals (No Fuels)"
"MRTN","MRTN","Marten Transport, Ltd. - Common Stock","Q","Q","N","1,26,54,47,484.00","","","Industrials","Trucking Freight/Courier Services"
"LOMA","LOMA","Loma Negra Compania Industrial Argentina Sociedad Anonima ADS","N","","N","1,24,63,20,008.00","","","Industrials","Building Materials"
"GHM","GHM","Graham Corporation Common Stock","N","","N","1,17,06,67,419.00","","","Industrials","Industrial Machinery/Components"
"GPRE","GPRE","Green Plains, Inc. - Common Stock","Q","Q","N","1,16,88,03,604.00","","","Industrials","Major Chemicals"
"GOLD","GOLD","Gold.com, Inc. Common Stock","N","","N","1,16,23,10,150.00","","","Industrials","Other Specialty Stores"
"ASTE","ASTE","Astec Industries, Inc. - Common Stock","Q","Q","N","1,15,28,50,468.00","","","Industrials","Construction/Ag Equipment/Trucks"
"XPEL","XPEL","XPEL, Inc. - Common Stock","Q","S","N","1,15,14,97,953.00","","","Industrials","Industrial Specialties"
"ROCK","ROCK","Gibraltar Industries, Inc. - Common Stock","Q","Q","N","1,13,24,92,067.00","","","Industrials","Steel/Iron Ore"
"EYPT","EYPT","EyePoint, Inc. - Common Stock","Q","G","N","1,11,80,23,709.00","","","Industrials","Biotechnology: Laboratory Analytical Instruments"
"EVEX","EVEX","Eve Holding, Inc. Common Stock","N","","N","1,11,59,67,887.00","","","Industrials","Aerospace"
"GIC","GIC","Global Industrial Company Common Stock","N","","N","1,11,49,28,425.00","","","Industrials","Industrial Machinery/Components"
"LNN","LNN","Lindsay Corporation Common Stock","N","","N","1,09,91,32,603.00","","","Industrials","Industrial Machinery/Components"
"NWPX","NWPX","NWPX Infrastructure, Inc. - Common Stock","Q","Q","N","1,09,26,43,967.00","","","Industrials","Steel/Iron Ore"
"ALNT","ALNT","Allient Inc. - Common Stock","Q","G","N","1,08,89,66,524.00","","","Industrials","Electrical Products"
"PLOW","PLOW","Douglas Dynamics, Inc. Common Stock","N","","N","1,04,58,36,808.00","","","Industrials","Construction/Ag Equipment/Trucks"
"SBGI","SBGI","Sinclair, Inc. - Class A Common Stock","Q","Q","N","1,03,26,89,464.00","","","Industrials","Broadcasting"
"RR","RR","Richtech Robotics Inc. - Class B Common Stock","Q","S","N","1,02,66,65,700.00","","","Industrials","Industrial Machinery/Components"
"HTLD","HTLD","Heartland Express, Inc. - Common Stock","Q","Q","N","1,00,34,91,563.00","","","Industrials","Trucking Freight/Courier Services"
"NPK","NPK","National Presto Industries, Inc. Common Stock","N","","N","99,14,33,521.00","","","Industrials","Ordnance And Accessories"
"SLI","SLI","Standard Lithium Ltd. Common Shares","A","","N","97,08,66,286.00","","","Industrials","Major Chemicals"
"PSIX","PSIX","Power Solutions International, Inc. - Common Stock","Q","S","N","96,18,95,279.00","","","Industrials","Industrial Machinery/Components"
"NX","NX","Quanex Building Products Corporation Common Stock","N","","N","89,29,53,344.00","","","Industrials","Metal Fabrications"
"LOT","LOT","Lotus Technology Inc. - American Depositary Shares","Q","Q","N","89,25,04,926.00","","","Industrials","Auto Manufacturing"
"CPAC","CPAC","Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares)","N","","N","89,01,23,745.00","","","Industrials","Building Materials"
"MYE","MYE","Myers Industries, Inc. Common Stock","N","","N","88,39,11,573.00","","","Industrials","Plastic Products"
"NMAX","NMAX","Newsmax, Inc. Class B Common Stock","N","","N","87,03,93,187.00","","","Industrials","Broadcasting"
"AEBI","AEBI","Aebi Schmidt Holding AG - Common Stock","Q","Q","N","86,13,53,162.00","","","Industrials","Auto Manufacturing"
"CVLG","CVLG","Covenant Logistics Group, Inc. Class A Common Stock","N","","N","84,87,65,749.00","","","Industrials","Trucking Freight/Courier Services"
"EVC","EVC","Entravision Communications Corporation Common Stock","N","","N","84,63,00,260.00","","","Industrials","Broadcasting"
"WGO","WGO","Winnebago Industries, Inc. Common Stock","N","","N","84,41,57,729.00","","","Industrials","Homebuilding"
"ASPI","ASPI","ASP Isotopes Inc. - Common Stock","Q","S","N","76,67,51,992.00","","","Industrials","Major Chemicals"
"MTUS","MTUS","Metallus Inc. Common Shares","N","","N","75,70,01,652.00","","","Industrials","Steel/Iron Ore"
"FTK","FTK","Flotek Industries, Inc. Common Stock","N","","N","73,33,17,580.00","","","Industrials","Major Chemicals"
"KRNT","KRNT","Kornit Digital Ltd. - Ordinary Shares","Q","Q","N","72,45,33,358.00","","","Industrials","Industrial Machinery/Components"
"TRNS","TRNS","Transcat, Inc. - Common Stock","Q","G","N","72,26,78,106.00","","","Industrials","Electrical Products"
