"Ticker","Symbol","Security Name","Listing Exchange","Market Category","ETF","MarketCap","TrailingPE","ForwardPE","Sector","Industry"
"FGSN","FGSN","F&G Annuities & Life, Inc. 7.300% Junior Subordinated Notes due 2065","N","","N","0","","","Finance","Life Insurance"
"EOD","EOD","Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest","N","","N","0","","","Finance","Investment Managers"
"COLAR","COLAR","Columbus Acquisition Corp - Rights","Q","G","N","0","","","Finance","Blank Checks"
"FFA","FFA","First Trust Enhanced Equity Income Fund Common Shares of Beneficial Interest","N","","N","0","","","Finance","Investment Managers"
"TLNCU","TLNCU","Talon Capital Corp. - Units","Q","G","N","0","","","Finance","Blank Checks"
"KF","KF","Korea Fund, Inc. (The) New Common Stock","N","","N","0","","","Finance","Investment Managers"
"AGD","AGD","abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest","N","","N","0","","","Finance","Trusts Except Educational Religious and Charitable"
"TMUSL","TMUSL","T-Mobile US, Inc. - 6.250% Senior Notes due 2069","Q","G","N","0","","","Telecommunications","Telecommunications Equipment"
"METCZ","METCZ","Ramaco Resources, Inc. - 8.375% Senior Notes due 2029","Q","Q","N","0","","","Energy","Coal Mining"
"FGIIU","FGIIU","FG Imperii Acquisition Corp. - Units","Q","G","N","0","","","Finance","Blank Checks"
"TMUSI","TMUSI","T-Mobile US, Inc. - 5.500% Senior Notes due June 2070","Q","G","N","0","","","Telecommunications","Telecommunications Equipment"
"MEVOW","MEVOW","M Evo Global Acquisition Corp II - Warrants","Q","G","N","0","","","Finance","Blank Checks"
"MHF","MHF","Western Asset Municipal High Income Fund, Inc. Common Stock","N","","N","0","","","Finance","Finance/Investors Services"
"MEVO","MEVO","M Evo Global Acquisition Corp II - Class A Ordinary Shares","Q","G","N","0","","","Finance","Blank Checks"
"MEVOU","MEVOU","M Evo Global Acquisition Corp II - Units","Q","G","N","0","","","Finance","Blank Checks"
"ERH","ERH","Allspring Utilities and High Income Fund Common Shares","A","","N","0","","","Finance","Finance/Investors Services"
"TEI","TEI","Templeton Emerging Markets Income Fund, Inc. Common Stock","N","","N","0","","","Finance","Finance Companies"
"MBVIU","MBVIU","M3-Brigade Acquisition VI Corp. - Units","Q","G","N","0","","","Finance","Blank Checks"
"FFC","FFC","Flaherty & Crumrine Preferred and Income Securities Fund Incorporated","N","","N","0","","","Finance","Trusts Except Educational Religious and Charitable"
"FGII","FGII","FG Imperii Acquisition Corp. - Class A Ordinary Shares","Q","G","N","0","","","Finance","Blank Checks"
"BGY","BGY","Blackrock Enhanced International Dividend Trust","N","","N","0","","","Finance","Trusts Except Educational Religious and Charitable"
"KIO","KIO","KKR Income Opportunities Fund Common Shares","N","","N","0","","","Finance","Investment Managers"
"MCGA","MCGA","Yorkville Acquisition Corp. - Class A Ordinary Share","Q","G","N","0","","","Utilities","Electric Utilities: Central"
"MCGAU","MCGAU","Yorkville Acquisition Corp. - Unit","Q","G","N","0","","","Finance","Blank Checks"
"KKRT","KKRT","KKR & Co. Inc. 6.875% Subordinated Notes due 2065","N","","N","0","","","Finance","Investment Managers"
"CHW","CHW","Calamos Global Dynamic Income Fund - Closed End Fund","Q","Q","N","0","","","Finance","Investment Managers"
"BGT","BGT","BlackRock Floating Rate Income Trust","N","","N","0","","","Finance","Trusts Except Educational Religious and Charitable"
"BGX","BGX","Blackstone Long Short Credit Income Fund Common Shares","N","","N","0","","","Finance","Trusts Except Educational Religious and Charitable"
"THQ","THQ","abrdn Healthcare Opportunities Fund Shares of Beneficial Interest","N","","N","0","","","Finance","Finance Companies"
"THW","THW","abrdn World Healthcare Fund Shares of Beneficial Interest","N","","N","0","","","Finance","Finance Companies"
"BHAVR","BHAVR","BHAV Acquisition Corp - Rights","Q","G","N","0","","","Finance","Blank Checks"
"MEGI","MEGI","NYLI CBRE Global Infrastructure Megatrends Term Fund Common Shares","N","","N","0","","","Finance","Investment Managers"
"ALISR","ALISR","Calisa Acquisition Corp - Right","Q","G","N","0","","","Finance","Blank Checks"
"JRI","JRI","Nuveen Real Asset Income and Growth Fund Common Shares of Beneficial Interest","N","","N","0","","","Finance","Finance Companies"
"JRS","JRS","Nuveen Real Estate Income Fund Common Shares of Beneficial Interest","N","","N","0","","","Finance","Finance/Investors Services"
"JPC","JPC","Nuveen Preferred & Income Opportunities Fund","N","","N","0","","","Finance","Investment Managers"
"JQC","JQC","Nuveen Credit Strategies Income Fund Shares of Beneficial Interest","N","","N","0","","","Finance","Finance Companies"
"ASPC","ASPC","A SPAC III Acquisition Corp. - Class A Ordinary Shares","Q","S","N","0","","","Finance","Blank Checks"
"ASPCR","ASPCR","A SPAC III Acquisition Corp. - Right","Q","S","N","0","","","Finance","Blank Checks"
"AFB","AFB","AllianceBernstein National Municipal Income Fund Inc","N","","N","0","","","Finance","Trusts Except Educational Religious and Charitable"
"ASGI","ASGI","abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest","N","","N","0","","","Finance","Investment Managers"
"JGH","JGH","Nuveen Global High Income Fund Common Shares of Beneficial Interest","N","","N","0","","","Finance","Investment Managers"
"TRAD","TRAD","APEX Tech Acquisition Inc. Ordinary Shares","N","","N","0","","","Finance","Investment Bankers/Brokers/Service"
"JENA","JENA","Jena Acquisition Corporation II Class A Ordinary Shares","N","","N","0","","","Finance","Blank Checks"
"JFR","JFR","Nuveen Floating Rate Income Fund Common Stock","N","","N","0","","","Finance","Trusts Except Educational Religious and Charitable"
"JMM","JMM","Nuveen Multi-Market Income Fund (MA)","N","","N","0","","","Finance","Trusts Except Educational Religious and Charitable"
"JOF","JOF","Japan Smaller Capitalization Fund Inc Common Stock","N","","N","0","","","Finance","Trusts Except Educational Religious and Charitable"
"TRGS","TRGS","TRG Latin America Acquisitions Corp. - Class A Ordinary Shares","Q","G","N","0","","","Finance","Blank Checks"
"JLS","JLS","Nuveen Mortgage and Income Fund","N","","N","0","","","Finance","Investment Managers"
"ASPCU","ASPCU","A SPAC III Acquisition Corp. - Unit","Q","S","N","0","","","Finance","Blank Checks"
"KBON","KBON","Karbon Capital Partners Corp. - Class A Ordinary Shares","Q","G","N","0","","","Finance","Blank Checks"
"KBONU","KBONU","Karbon Capital Partners Corp. - Units","Q","G","N","0","","","Finance","Blank Checks"
"CHECU","CHECU","Chenghe Acquisition III Co. - Units","Q","G","N","0","","","Finance","Blank Checks"
"CHI","CHI","Calamos Convertible Opportunities and Income Fund - Closed End Fund","Q","Q","N","0","","","Finance","Investment Managers"
"EOS","EOS","Eaton Vance Enhance Equity Income Fund II Common Stock","N","","N","0","","","Finance","Trusts Except Educational Religious and Charitable"
