Holding Ticker,ETFs Holding This Stock
2308.TW,FLTW (5.5102%); POW (5.0713%); EWT (4.2643%); BCHI (3.8955%); EEMO (3.6478%); TEMX (3.4863%); EMM (3.3698%); GTEK (3.2771%); FRDM (3.0841%); EMOP (3.0369%); LDEM (2.5921%); EMC (2.4988%); ASIA (2.4326%); AIA (2.3929%); PEMX (2.3522%); MFEM (2.3109%); SPTE (2.3084%); QEMM (2.2784%); MINV (2.1774%); NUEM (2.1294%); EMXF (2.1135%); ECON (1.8836%); XCNY (1.8526%); BCEM (1.8254%); FTHF (1.8149%); EMCS (1.755%); EMEM (1.5742%); FEMR (1.5553%); VEXC (1.5391%); REMG (1.5323%); FFEM (1.4978%); XCEM (1.4711%); EEMV (1.4392%); DEHP (1.3153%); SEEM (1.2878%); KEMX (1.2844%); SPWO (1.2604%); JEMA (1.2527%); GMF (1.2478%); EMCR (1.2154%); EEMA (1.206%); EMXC (1.1882%); STXE (1.1714%); ESGE (1.1506%); SPEM (1.1224%); SCHE (1.0881%); NTSE (1.0649%); AAXJ (1.0616%); EMGF (1.0583%); EEMX (1.0112%); VWO (0.9903%); EMMF (0.9703%); EEM (0.9632%); FLAX (0.9516%); DBEM (0.9134%); BBEM (0.9096%); BKEM (0.8972%); GSEE (0.865%); IEMG (0.8468%); XSOE (0.7742%); GEM (0.7458%); DFAE (0.7391%)
2313.TW,DGS (0.9413%)
2317.TW,EVLU (5.0696%); FLTW (4.4857%); EPEM (3.6342%); EWT (3.3949%); FNDE (2.8163%); PXH (2.7686%); EMM (2.6663%); FRDM (2.5001%); BREE (1.7192%); DFEV (1.6557%); ECON (1.5881%); EMCS (1.5075%); MEMX (1.4397%); FEMR (1.398%); VEXC (1.2367%); GMF (1.2026%); XCNY (1.1128%); JHEM (1.0605%); XCEM (1.0463%); NTSE (1.0205%); EEMA (1.0111%); EMCR (0.9885%); EMXC (0.9586%); SPEM (0.9277%); SCHE (0.8891%); EEMX (0.8112%); VWO (0.7963%); EEM (0.7776%); DFAE (0.776%); AVSE (0.7693%); AVXC (0.7616%); IEMG (0.6838%); TLTE (0.6219%)
2327.TW,FPXI (3.7358%); EWT (3.1964%); EVLU (2.971%); FLTW (2.6264%); DGRE (1.6879%); EEMO (1.5851%); ROAM (1.5374%); EMEM (1.4027%); MFEM (1.3268%); DFEV (1.2182%); JHEM (0.9876%)
2330.TW,VEXC (24.3925%); AIA (23.6503%); EWT (20.7434%); FLTW (19.8528%); XCNY (19.8432%); PEMX (19.6783%); EMCS (19.2405%); STXE (18.8421%); EMXC (18.5813%); NTSE (17.8412%); EMOP (17.1924%); SCHE (17.0839%); FFEM (16.7957%); AAXJ (16.7778%); NUEM (16.0905%); VWO (15.6747%); EEMX (15.4434%); QLVE (15.3579%); KEMX (15.2503%); DGRE (15.2056%); ESGE (15.1969%); EEM (15.053%); EEMA (15.0086%); FLAX (14.9468%); XCEM (14.8387%); MEM (14.837%); MEMA (14.7402%); SPEM (14.5665%); DBEM (14.4017%); BBEM (14.3734%); EPEM (14.1654%); GEM (13.9059%); JEMA (13.8453%); WCME (13.5696%); BKEM (13.5623%); GSEE (13.4873%); XSOE (13.2473%); IEMG (13.2198%); DIEM (13.1635%); OAEM (13.158%); JADE (12.823%); DFAE (12.6503%); FDEM (12.5734%); EMCR (12.2059%); AGEM (12.1806%); FEMR (11.7909%); BCEM (11.7436%); DEXC (11.7154%); REMG (11.6494%); SEEM (11.4498%); EMDM (11.3146%); DNL (11.2118%); GEME (11.0384%); RFEM (10.9735%); EMES (10.6159%); EMEQ (10.3646%); EMGF (10.2809%); TEMX (10.2403%); PATN (10.195%); DFEM (9.8462%); MTRA (9.6679%); EMM (9.3093%); EMKT (8.9343%); EMSF (8.4833%); DEHP (8.4188%); KNCT (8.4074%); EMMF (8.2444%); FTHF (8.0624%); DFSE (8.0147%); FFGX (7.9612%); BIDD (7.6964%); EXUS (7.5974%); WCMI (7.2005%); CGXU (6.9142%); TXUG (6.8487%); QEMM (6.8361%); TLTE (6.8144%); PXH (6.79%); FBOT (6.5421%); JDIV (6.3333%); EMC (6.2909%); TDI (6.2809%); FNDE (6.0871%); JIG (5.7687%); VSGX (5.7025%); CVIE (5.6913%); LDEM (5.299%); BGGG (5.2325%); AQLT (5.2282%); GMF (5.1926%); EMXF (5.0816%); ACWX (5.0309%); DOL (4.9783%); IXN (4.9037%); EPIN (4.8764%); WRND (4.8631%); DBAW (4.714%); IQDF (4.7093%); GXUS (4.6895%); ECON (4.6855%); ARTY (4.6673%); VEU (4.6572%); SFTX (4.5352%); FRGN (4.524%); AVEM (4.5187%); JHEM (4.4514%); OAIM (4.3937%); ASIA (4.3731%); IQDY (4.3636%); IXUS (4.3614%); VXUS (4.2491%); AGQI (4.0302%); EFFE (3.6484%); TIER (3.5415%); KEMQ (3.5281%); TXUE (3.1226%); IGRO (3.0516%); PIE (3.04%); AGIX (2.7151%); MEMX (2.7046%); ILOW (2.5169%); AVSE (2.3057%); MOTG (2.2397%); JIVE (2.192%); JPEM (2.1535%); KLMT (1.9816%); NZAC (1.8753%); CRBN (1.8654%); ACWI (1.8276%); FWD (1.795%); DFAX (1.714%); VT (1.6425%); EEMV (1.5432%); GLOF (1.4492%); MFEM (1.326%); ACWV (1.263%)
2337.TW,AVEE (0.9003%); DEXC (0.7254%); EWX (0.7069%); EEMS (0.4998%); VSS (0.2385%)
2344.TW,PIE (2.1294%); EMSC (2.1182%); EEMS (1.1836%)
2345.TW,EQLT (4.5162%); PIE (3.8712%); EFFE (3.1622%); OAEM (3.0068%); MEMX (2.0222%); EWT (2.0113%); FEM (1.705%); DGRE (1.5304%); KEMX (1.3499%); QEMM (1.0785%); DEHP (1.0275%); REMG (0.8365%); XCNY (0.7901%)
2360.TW,EMES (2.1922%); AVEM (0.6987%)
2368.TW,MEMS (2.8183%)
