Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags,Holding Count,Known Holding Weight %,Top Holdings,Weighted Sector Mix,Weighted Industry Mix,Holdings Classification Text,Holdings Classification Source
BFSI.NS,XNSE:BFSI,MIRAEAMC-MAFSETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BNKETFAXIS.NS,XNSE:BNKETFAXIS,AXISAMC-BNKETFAXIS,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BSE500IETF.NS,XNSE:BSE500IETF,ICICIPRAMC-ICICI500,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BSLGOLDETF.NS,XNSE:BSLGOLDETF,ABSLGoldETF-GO,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BSLSENETFG.NS,XNSE:BSLSENETFG,BIRLASLAMC-BSLSENETFG,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CASHIETF.NS,XNSE:CASHIETF,ICICIPRAMC - CASHIETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CHOICEGOLD.NS,XNSE:CHOICEGOLD,ChoiceAMC - CHOICEGOLD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
COMMOIETF.NS,XNSE:COMMOIETF,ICICIPRAMC-ICICICOMMO,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CONS.NS,XNSE:CONS,KOTAKMAMC-KOTAKCONS,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CONSUMAXIS.NS,XNSE:CONSUMAXIS,AXISAMC-CONSUMAXIS,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CONSUMBEES.NS,XNSE:CONSUMBEES,NIPINDETFCONSUMPTION,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CONSUMER.NS,XNSE:CONSUMER,MIRAEAMC - CONSUMER,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CONSUMIETF.NS,XNSE:CONSUMIETF,ICICIPRAMC-ICICICONSU,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CPSEETF.NS,XNSE:CPSEETF,CPSEETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
DEFENCE.NS,XNSE:DEFENCE,MIRAEAMC - DEFENCE,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
DIVOPPBEES.NS,XNSE:DIVOPPBEES,NIPINDETFDIVOPP,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EBBETF0430.NS,XNSE:EBBETF0430,EDELAMC-EBBETF0430,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
