Ticker,Symbol,ETF Name,Last Price,Change %,Volume,Average Volume 30D,AUM,Expense Ratio %,MTD %,1M %,3M %,6M %,YTD %,1Y %,Theme Option,Exchange,Type,Type Specs,Subtype
AMEX:URTH,URTH,iShares MSCI World ETF,204.93,-0.6062663691919682,151998,1354715.1,8112314001.0,0.24,,4.406969635215002,9.360157959336156,9.729064039408875,9.465306340473266,24.95731707317074,Developed markets,AMEX,fund,['etf'],etf
CBOE:HEFA,HEFA,iShares Currency Hedged MSCI EAFE ETF,45.595,-0.4475982532751055,207934,523204.5,7125197740.2,0.35000000000000003,,4.264806768808603,5.5684186154202395,9.946949602122016,8.974665391969396,20.84548104956269,Developed markets,CBOE,fund,['etf'],etf
NASDAQ:ESGE,ESGE,iShares ESG Aware MSCI EM ETF,55.84,-1.568834831658723,467258,1117174.6333333333,7113103340.4,0.25,,8.490382747231406,20.344827586206907,25.39860768021559,23.676633444075314,50.878141042961374,Emerging markets,NASDAQ,fund,['etf'],etf
CBOE:BBIN,BBIN,JPMorgan BetaBuilders International Equity ETF,78.315,-0.6154822335025374,22442,128565.2,6490708000.0,0.07,,2.5736738703339928,3.673550436854635,8.005792304509713,7.016944520360741,17.20293325351692,Developed markets,CBOE,fund,['etf'],etf
NASDAQ:VWOB,VWOB,Vanguard Emerging Markets Government Bond ETF,66.785,-0.380369928400969,349838,524174.7,6097036409.14224,0.15,,0.14245014245014076,-0.9565475307726682,-1.2348417627920851,-1.073914975559189,4.6130952380952275,Emerging markets,NASDAQ,fund,['etf'],etf
CBOE:DIHP,DIHP,Dimensional International High Profitability ETF,34.116517,-0.43333722457317614,354211,566632.3333333334,5991267721.2765,0.27,,2.5135727163461556,1.7492305398150927,8.34079707843761,6.714160150140766,16.677554719562256,Developed markets,CBOE,fund,['etf'],etf
CBOE:DFIS,DFIS,Dimensional International Small Cap ETF,36.34,-0.9809264305177096,300400,474679.13333333336,5897007687.078,0.39,,2.6263767297373817,2.9461756373937855,12.472918601052308,9.293233082706777,25.35357019661954,Developed markets,CBOE,fund,['etf'],etf
AMEX:GSIE,GSIE,Goldman Sachs ActiveBeta International Equity ETF,45.65,-0.6744995648389954,336662,386856.8,5752196000.0,0.25,,1.693027400311869,2.9776674937965266,8.124111795357651,5.451605451605451,16.335372069317014,Developed markets,AMEX,fund,['etf'],etf
AMEX:SCHC,SCHC,Schwab International Small-Cap Equity ETF,49.85,-1.2675777381659745,170614,345680.93333333335,5534727000.0,0.08,,-0.14022435897435953,1.7970185828058047,7.877082882492968,8.487486398258975,23.05603554677858,Developed markets,AMEX,fund,['etf'],etf
CBOE:EFAV,EFAV,iShares MSCI EAFE Min Vol Factor ETF,89.665,-0.5490239574090399,281050,488257.13333333336,5259540984.0,0.2,,-1.0756840247131447,-1.445372609364693,4.0438616848456705,3.384065490603023,5.649817367738897,Developed markets,CBOE,fund,['etf'],etf
CBOE:LVHI,LVHI,Franklin International Low Volatility High Dividend Index ETF,40.99,-0.12183235867445702,256061,636679.3333333334,4971092900.87801,0.4,,0.7372818874416424,2.475000000000005,12.795817281232797,10.277105192359429,23.72472079686085,Developed markets,CBOE,fund,['etf'],etf
AMEX:EMLC,EMLC,VanEck J. P. Morgan EM Local Currency Bond ET,25.39,-0.5873140172278724,1787710,2842222.2333333334,4852784180.9538,0.3,,0.2368732727990615,-1.3597513597513515,-1.2062256809338472,-1.8933539412673819,3.002028397565931,Emerging markets,AMEX,fund,['etf'],etf
CBOE:DISV,DISV,Dimensional International Small Cap Value ETF,42.21,-0.7990599294947035,121590,265057.26666666666,4825960750.624,0.42,,3.0391797876235747,3.253424657534242,13.95788336933046,9.893256964332219,30.883720930232563,Developed markets,CBOE,fund,['etf'],etf
AMEX:IVLU,IVLU,iShares MSCI Intl Value Factor ETF,42.925,-0.590551181102368,445563,931159.8,4283221500.0,0.3,,3.934624697336562,6.38166047087979,13.859416445623326,11.551455301455302,30.59020383328263,Developed markets,AMEX,fund,['etf'],etf
AMEX:IMTM,IMTM,iShares MSCI Intl Momentum Factor ETF,53.395,-0.15893792071801374,224623,492100.5333333333,4027278777.2,0.3,,3.921759439470612,6.790000000000007,9.259259259259272,10.024726973006393,18.497558810474924,Developed markets,AMEX,fund,['etf'],etf
AMEX:DEM,DEM,WisdomTree Emerging Markets High Dividend Fund,55.7,-1.3111268603826982,81783,183396.86666666667,3999665600.0,0.63,,6.135670731707329,12.36635061529151,18.38469713071202,17.983478076678676,26.648476580263775,Emerging markets,AMEX,fund,['etf'],etf
NASDAQ:BOTZ,BOTZ,Global X Robotics & Artificial Intelligence ETF,40.3,-0.8366141732283549,485040,1069342.3666666667,3781250150.52423,0.68,,4.634557964429434,9.243697478991587,9.510869565217392,9.959072305593448,30.083925112976104,Developed markets,NASDAQ,fund,['etf'],etf
AMEX:IDMO,IDMO,Invesco S&P International Developed Momentum ETF,59.68,-0.9789281566285106,278241,396046.73333333334,3774760000.0,0.25,,1.6868291020616835,3.990242202474297,8.489365569896385,6.3435495367070605,18.789808917197448,Developed markets,AMEX,fund,['etf'],etf
CBOE:EEMV,EEMV,iShares MSCI Emerging Markets Min Vol Factor ETF,75.24,-1.24688279301746,124750,213585.5,3746806560.0,0.25,,6.226175349428204,14.852694245153394,15.664873174481166,16.30854846189519,23.223059285948235,Emerging markets,CBOE,fund,['etf'],etf
CBOE:FRDM,FRDM,Freedom 100 Emerging Markets ETF,73.425,-1.8382352941176472,262551,363960.63333333336,3614477895.0,0.49,,15.01409774436089,27.56254343293953,49.23780487804877,40.20431544777544,92.21204188481674,Emerging markets,CBOE,fund,['etf'],etf
AMEX:INTF,INTF,iShares International Equity Factor ETF,41.345,-0.803742802303265,96921,285286.5333333333,3459156029.4,0.16,,1.8349753694581217,4.380207018429688,10.54812834224599,8.403251179863656,21.710332646452752,Developed markets,AMEX,fund,['etf'],etf
